;"FullNameBase";"FullNameSubBase";"ShortNameBase";"ShortNameSubBase";"titleName";"CLASSName";"CLASSName";"CLASSName";"CLASSName";"CLASSName";"CLASSName"
2034;"キスメ";;"キスメ";;;"キスメEasy";"キスメNormal";"キスメHard";"キスメLunatic";"キスメExtra";"キスメPhantasm"
2035;"お燐";;"お燐";;;"お燐Easy";"お燐Normal";"お燐Hard";"お燐Lunatic";"お燐Extra";"お燐Phantasm"
2036;"黒谷ヤマメ";;"ヤマメ";;;"ヤマメEasy";"ヤマメNormal";"ヤマメHard";"ヤマメLunatic";"ヤマメExtra";"ヤマメPhantasm"
2037;"古明地さとり";;"さとり";;;"さとりEasy";"さとりNormal";"さとりHard";"さとりLunatic";"さとりExtra";"さとりPhantasm"
2038;"古明地こいし";;"こいし";;;"こいしEasy";"こいしNormal";"こいしHard";"こいしLunatic";"こいしExtra";"こいしPhantasm"
2039;"霊烏路空";;"お空";;;"お空Easy";"お空Normal";"お空Hard";"お空Lunatic";"お空Extra";"お空Phantasm"
2040;"上白沢慧音";;"慧音";;;"慧音Easy";"慧音Normal";"慧音Hard";"慧音Lunatic";"慧音Extra";"慧音Phantasm"
2041;"アリス・マーガトロイド";;"アリス";;;"アリスEasy";"アリスNormal";"アリスHard";"アリスLunatic";"アリスExtra";"アリスPhantasm"
2042;"怨霊";;"怨霊";;;"怨霊Easy";"怨霊Normal";"怨霊Hard";"怨霊Lunatic";"怨霊Extra";"怨霊Phantasm"
2043;"橙";;"橙";;;"橙Easy";"橙Normal";"橙Hard";"橙Lunatic";"橙Extra";"橙Phantasm"
2044;"八雲藍";;"藍";;;"藍Easy";"藍Normal";"藍Hard";"藍Lunatic";"藍Extra";"藍Phantasm"
2045;"八雲紫";;"紫";;;"紫Easy";"紫Normal";"紫Hard";"紫Lunatic";"紫Extra";"紫Phantasm"
2046;"八意永琳";;"永琳";;;"永琳Easy";"永琳Normal";"永琳Hard";"永琳Lunatic";"永琳Extra";"永琳Phantasm"
2047;"蓬莱山輝夜";;"輝夜";;;"輝夜Easy";"輝夜Normal";"輝夜Hard";"輝夜Lunatic";"輝夜Extra";"輝夜Phantasm"
2048;"因幡てゐ";;"てゐ";;;"てゐEasy";"てゐNormal";"てゐHard";"てゐLunatic";"てゐExtra";"てゐPhantasm"
2049;"藤原妹紅";;"妹紅";;;"妹紅Easy";"妹紅Normal";"妹紅Hard";"妹紅Lunatic";"妹紅Extra";"妹紅Phantasm"
2050;"リグル・ナイトバグ";;"リグル";;;"リグルEasy";"リグルNormal";"リグルHard";"リグルLunatic";"リグルExtra";"リグルPhantasm"
2051;"ミスティア・ローレライ";;"ミスティア";;;"ミスティアEasy";"ミスティアNormal";"ミスティアHard";"ミスティアLunatic";"ミスティアExtra";"ミスティアPhantasm"
2052;"メルラン・プリズムリバー";;"メルラン";;;"メルランEasy";"メルランNormal";"メルランHard";"メルランLunatic";"メルランExtra";"メルランPhantasm"
2053;"リリカ・プリズムリバー";;"リリカ";;;"リリカEasy";"リリカNormal";"リリカHard";"リリカLunatic";"リリカExtra";"リリカPhantasm"
2054;"ルナサ・プリズムリバー";;"ルナサ";;;"ルナサEasy";"ルナサNormal";"ルナサHard";"ルナサLunatic";"ルナサExtra";"ルナサPhantasm"
2055;"メディスン・メランコリー";;"メディスン";;;"メディスンEasy";"メディスンNormal";"メディスンHard";"メディスンLunatic";"メディスンExtra";"メディスンPhantasm"
2056;"風見幽香";;"幽香";;;"幽香Easy";"幽香Normal";"幽香Hard";"幽香Lunatic";"幽香Extra";"幽香Phantasm"
2057;"小野塚小町";;"小町";;;"小町Easy";"小町Normal";"小町Hard";"小町Lunatic";"小町Extra";"小町Phantasm"
2058;"ナズーリン";;"ナズーリン";;;"ナズーリンEasy";"ナズーリンNormal";"ナズーリンHard";"ナズーリンLunatic";"ナズーリンExtra";"ナズーリンPhantasm"
2059;"多々良小傘";;"小傘";;;"小傘Easy";"小傘Normal";"小傘Hard";"小傘Lunatic";"小傘Extra";"小傘Phantasm"
2060;"雲居一輪＆雲山";;"一輪＆雲山";;;"一輪＆雲山Easy";"一輪＆雲山Normal";"一輪＆雲山Hard";"一輪＆雲山Lunatic";"一輪＆雲山Extra";"一輪＆雲山Phantasm"
2061;"一輪";;"一輪";;;"一輪Easy";"一輪Normal";"一輪Hard";"一輪Lunatic";"一輪Extra";"一輪Phantasm"
2062;"雲山";;"雲山";;;"雲山Easy";"雲山Normal";"雲山Hard";"雲山Lunatic";"雲山Extra";"雲山Phantasm"
2063;"ムラサ船長";;"ムラサ";;;"ムラサEasy";"ムラサNormal";"ムラサHard";"ムラサLunatic";"ムラサExtra";"ムラサPhantasm"
