FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;;;;;2000|0|0|100;2001|0|0|100;;;;;;;;;;;;;;
2;;;;;2000|0|0|100;2000|1|0|100;2001|0|0|100;2001|1|0|100;;;;;;;;;;;;
3;;;;;2003|0|0|100;2013|0|0|100;2007|0|0|100;2050|0|0|100;2051|0|0|100;2069|0|0|100;;;;;2071|0|0|100;;;;;
4;;;2034|0|0|100;;2003|0|0|100;2013|0|0|100;2007|0|0|100;2050|0|0|100;2051|0|0|100;2069|0|0|100;2048|0|0|100;2002|0|0|100;2043|0|0|100;2032|0|0|100;2071|0|0|100;;;;;
5;;2017|0|0|100;2034|0|0|100;;;;;;;2010|0|0|100;2048|0|0|100;2002|0|0|100;2043|0|0|100;2032|0|0|100;;;;2072|0|0|50;2008|0|0|100;
6;;2017|0|0|100;;;;2058|0|0|100;2059|0|0|100;2063|0|0|100;;2010|0|0|100;2048|0|0|100;2002|0|0|100;;;2026|1|0|50;;;2072|0|0|50;2008|0|0|100;
7;2031|1|0|100;;;;2030|0|0|100;2058|0|0|100;2059|0|0|100;2063|0|0|100;2060|0|0|100;2010|0|0|100;2039|0|0|100;;;;2026|1|0|50;;;;2008|0|0|100;
8;2031|1|0|100;;;;2030|0|0|100;2013|1|0|100;2059|0|0|100;2016|1|0|100;2060|0|0|100;;2039|0|0|100;;2069|1|0|100;;;;;;;
9;;;;;2023|1|0|100;2013|1|0|100;2068|1|0|100;2016|1|0|100;2050|1|0|100;2051|1|0|100;;;2069|1|0|100;2043|1|0|100;2071|1|0|100;;2014_|1|0|100;;;
10;;;;;2023|1|0|100;2044|1|0|100;2068|1|0|100;2034|1|0|100;2050|1|0|100;2051|1|0|100;2070|1|0|100;2002|1|0|100;2069|1|0|100;2043|1|0|100;2071|1|0|100;;2014_|1|0|100;;;
11;;;;;2023|1|0|100;2044|1|0|100;2036|1|0|100;2034|1|0|100;2041|1|0|100;;2070|1|0|100;2002|1|0|100;;;;2001|2|0|100;2014_|1|0|100;;;
12;;2017|1|0|100;;;2012|1|0|100;2015|1|0|100;2036|1|0|100;;2041|1|0|100;;2070|1|0|100;2002|1|0|100;;2055|1|0|100;;2001|2|0|100;2022|1|0|100;;2008|0|0|100;
13;;2017|1|0|100;;;2012|1|0|100;2015|1|0|100;2011|1|0|100;2058|1|0|100;2041|1|0|100;2006|1|0|100;;;;2055|1|0|100;;2001|2|0|100;2022|1|0|100;;2008|0|0|100;
14;;2035|1|0|100;;;2037|1|0|100;2045|1|0|100;2011|1|0|100;2058|1|0|100;2060|1|0|100;2006|1|0|100;;2054|1|0|50;2066|1|0|100;2055|1|0|100;2072|1|0|50;;2022|1|0|100;;2008|0|0|100;
15;;2035|1|0|100;;;2037|1|0|100;2049|1|0|100;2047|1|0|100;2058|1|0|100;2060|1|0|100;;2048|1|0|100;2054|1|0|50;2066|1|0|100;;2072|1|0|50;;;;;
16;2019|1|0|100;2035|1|0|100;2028|1|0|100;2046|1|0|100;;2049|1|0|100;2047|1|0|100;2010|1|0|100;2059|1|0|100;2063|1|0|100;2048|1|0|100;;2066|1|0|100;;2072|1|0|50;2071|2|0|100;;;;
17;2019|1|0|100;2040|1|0|100;2028|1|0|100;2046|1|0|100;2004|1|0|100;2005|1|0|100;2032|1|0|100;2010|1|0|100;2059|1|0|100;2063|1|0|100;2048|1|0|100;;2066|1|0|100;;;2071|2|0|100;;;;
18;2019|1|0|100;2040|1|0|100;;;2004|1|0|100;2005|1|0|100;2032|1|0|100;2029|1|0|100;2027|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;;2000|2|0|100;;2071|2|0|100;;;;
19;2019|1|0|100;;2075|1|0|100;;2030|1|0|100;2018|1|0|100;2032|1|0|100;2029|1|0|100;2027|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;2075|1|0|100;2000|2|0|100;;;;;;
20;;2038|1|0|100;2075|1|0|100;;2030|1|0|100;2018|1|0|100;2032|1|0|100;2037|1|0|100;2039|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;2075|1|0|100;2000|2|0|100;;;;;;
21;;2038|1|0|100;;;;2018|1|0|100;;2037|1|0|100;2039|1|0|100;2064|1|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;2000|2|0|100;;;;;2008|1|0|100;
22;;;;;;2007|2|0|100;;2065|1|0|100;;2064|1|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;;;2026|2|0|50;;;2008|1|0|100;
23;2031|2|0|100;;;;2003|2|0|100;2007|2|0|100;;2065|1|0|100;2050|2|0|100;2051|2|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;2041|2|0|100;2072|2|0|50;2026|2|0|50;;;;
24;2031|2|0|100;2035|1|0|100;;;2003|2|0|100;2036|2|0|100;2069|2|0|100;;2050|2|0|100;2051|2|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;2041|2|0|100;2072|2|0|50;;2043|2|0|100;;;
25;2031|2|0|100;2035|1|0|100;;;2034|2|0|100;2036|2|0|100;2069|2|0|100;2058|2|0|100;2059|2|0|100;2060|2|0|100;2063|2|0|100;;2054|2|0|50;2041|2|0|100;2072|2|0|50;2044|2|0|100;2043|2|0|100;2067|1|0|100;;
26;2031|2|0|100;2035|1|0|100;2028|1|0|100;;2034|2|0|100;2013|2|0|100;2068|2|0|100;2058|2|0|100;2059|2|0|100;2060|2|0|100;2063|2|0|100;2002|2|0|100;2054|2|0|50;;;2044|2|0|100;2043|2|0|100;2067|1|0|100;;
