test;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵
1;2000;ノラケダマ;;;;;2000|2|0|100;2001|2|0|100;;;;;;;;;;;;;;
2;2001;ザコF_;;;;;2000|0|0|100;2000|1|0|100;2001|0|0|100;2001|1|0|100;;;;;;;;;;;;
3;2002;メイドF_;;;;;2003|0|0|100;2013|0|0|100;2007|0|0|100;2050|0|0|100;2051|0|0|100;2069|0|0|100;;;;;2071|0|0|100;;;;;
4;2003;ダイF_;;;2034|0|0|100;;2003|0|0|100;2013|0|0|100;2007|0|0|100;2050|0|0|100;2051|0|0|100;2069|0|0|100;2048|0|0|100;2002|0|0|100;2043|0|0|100;2032|0|0|100;2071|0|0|100;;;;;
5;2004;レミリア;;2017|0|0|100;2034|0|0|100;;;;;;;2010|0|0|100;2048|0|0|100;2002|0|0|100;2043|0|0|100;2032|0|0|100;;;;2072|0|0|50;2008|0|0|100;
6;2005;フラン;;2017|0|0|100;;;;2058|0|0|100;2059|0|0|100;2063|0|0|100;;2010|0|0|100;2048|0|0|100;2002|0|0|100;;;2026|1|0|50;;;2072|0|0|50;2008|0|0|100;
7;2006;サクヤ;2031|1|0|100;;;;2030|0|0|100;2058|0|0|100;2059|0|0|100;2063|0|0|100;2060|0|0|100;2010|0|0|100;2039|0|0|100;;;;2026|1|0|50;;;;2008|0|0|100;
8;2007;ルーミア;2031|1|0|100;;;;2030|0|0|100;2013|1|0|100;2059|0|0|100;2016|1|0|100;2060|0|0|100;;2039|0|0|100;;2069|1|0|100;;;;;;;
9;2008;ニトリ;;;;;2023|1|0|100;2013|1|0|100;2068|1|0|100;2016|1|0|100;2050|1|0|100;2051|1|0|100;;;2069|1|0|100;2043|1|0|100;2071|1|0|100;;2014_|1|0|100;;;
10;2009;エイキ;;;;;2023|1|0|100;2044|1|0|100;2068|1|0|100;2034|1|0|100;2050|1|0|100;2051|1|0|100;2070|1|0|100;2002|1|0|100;2069|1|0|100;2043|1|0|100;2071|1|0|100;;2014_|1|0|100;;;
11;2010;ヒナ;;;;;2023|1|0|100;2044|1|0|100;2036|1|0|100;2034|1|0|100;2041|1|0|100;;2070|1|0|100;2002|1|0|100;;;;2001|2|0|100;2014_|1|0|100;;;
12;2011;ユユコ;;2017|1|0|100;;;2012|1|0|100;2015|1|0|100;2036|1|0|100;;2041|1|0|100;;2070|1|0|100;2002|1|0|100;;2055|1|0|100;;2001|2|0|100;2022|1|0|100;;2008|0|0|100;
13;2012;ヨウム;;2017|1|0|100;;;2012|1|0|100;2015|1|0|100;2011|1|0|100;2058|1|0|100;2041|1|0|100;2006|1|0|100;;;;2055|1|0|100;;2001|2|0|100;2022|1|0|100;;2008|0|0|100;
14;2013;チルノ;;2035|1|0|100;;;2037|1|0|100;2045|1|0|100;2011|1|0|100;2058|1|0|100;2060|1|0|100;2006|1|0|100;;2054|1|0|50;2066|1|0|100;2055|1|0|100;2072|1|0|50;;2022|1|0|100;;2008|0|0|100;
15;2014;マリサ;;2035|1|0|100;;;2037|1|0|100;2049|1|0|100;2047|1|0|100;2058|1|0|100;2060|1|0|100;;2048|1|0|100;2054|1|0|50;2066|1|0|100;;2072|1|0|50;;;;;
16;2015;パチュ;2019|1|0|100;2035|1|0|100;2028|1|0|100;2046|1|0|100;;2049|1|0|100;2047|1|0|100;2010|1|0|100;2059|1|0|100;2063|1|0|100;2048|1|0|100;;2066|1|0|100;;2072|1|0|50;2071|2|0|100;;;;
17;2016;コアクマ;2019|1|0|100;2040|1|0|100;2028|1|0|100;2046|1|0|100;2004|1|0|100;2005|1|0|100;2032|1|0|100;2010|1|0|100;2059|1|0|100;2063|1|0|100;2048|1|0|100;;2066|1|0|100;;;2071|2|0|100;;;;
18;2017;ウドンゲ;2019|1|0|100;2040|1|0|100;;;2004|1|0|100;2005|1|0|100;2032|1|0|100;2029|1|0|100;2027|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;;2000|2|0|100;;2071|2|0|100;;;;
19;2018;アヤ;2019|1|0|100;;2075|1|0|100;;2030|1|0|100;2018|1|0|100;2032|1|0|100;2029|1|0|100;2027|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;2075|1|0|100;2000|2|0|100;;;;;;
20;2019;レイム;;2038|1|0|100;2075|1|0|100;;2030|1|0|100;2018|1|0|100;2032|1|0|100;2037|1|0|100;2039|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;2075|1|0|100;2000|2|0|100;;;;;;
21;2020;リンノスケ;;2038|1|0|100;;;;2018|1|0|100;;2037|1|0|100;2039|1|0|100;2064|1|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;2000|2|0|100;;;;;2008|1|0|100;
22;2021;ケダマアシュ;;;;;;2007|2|0|100;;2065|1|0|100;;2064|1|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;;;2026|2|0|50;;;2008|1|0|100;
23;2022;さなえ;2031|2|0|100;;;;2003|2|0|100;2007|2|0|100;;2065|1|0|100;2050|2|0|100;2051|2|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;2041|2|0|100;2072|2|0|50;2026|2|0|50;;;;
24;2023;メイリン;2031|2|0|100;2035|1|0|100;;;2003|2|0|100;2036|2|0|100;2069|2|0|100;;2050|2|0|100;2051|2|0|100;2056|1|0|50;2057|1|0|100;2009|1|0|100;2041|2|0|100;2072|2|0|50;;2043|2|0|100;;;
25;2024;トキコ;2031|2|0|100;2035|1|0|100;;;2034|2|0|100;2036|2|0|100;2069|2|0|100;2058|2|0|100;2059|2|0|100;2060|2|0|100;2063|2|0|100;;2054|2|0|50;2041|2|0|100;2072|2|0|50;2044|2|0|100;2043|2|0|100;2067|1|0|100;;
26;2025;イク;2031|2|0|100;2035|1|0|100;2028|1|0|100;;2034|2|0|100;2013|2|0|100;2068|2|0|100;2058|2|0|100;2059|2|0|100;2060|2|0|100;2063|2|0|100;2002|2|0|100;2054|2|0|50;;;2044|2|0|100;2043|2|0|100;2067|1|0|100;;
27;2026;シズハ;;;2028|1|0|100;;2023|2|0|100;2013|2|0|100;2068|2|0|100;2058|2|0|100;2011|2|0|100;2012|2|0|100;2070|2|0|100;2002|2|0|100;;;;2044|2|0|100;;;;
28;2027;スイカ;;;;;2023|2|0|100;2013|2|0|100;2068|2|0|100;;2011|2|0|100;2012|2|0|100;2070|2|0|100;2002|2|0|100;;;;;;;;
29;2028;スワコ;;;;;2023|2|0|100;2015|2|0|100;2016|2|0|100;2006|2|0|100;2032|2|0|100;2030|2|0|100;2070|2|0|100;;2057|2|0|100;;;2064|2|0|100;;;;
30;2029;テンシ;;;;2029|2|0|100;;2015|2|0|100;2016|2|0|100;2006|2|0|100;2032|2|0|100;2030|2|0|100;2070|2|0|100;2065|2|0|100;2057|2|0|100;2009|2|0|100;2010|2|0|100;2064|2|0|100;2066|2|0|100;2022|2|0|100;;2008|1|0|50
31;2030;パルスィ;;2028|2|0|100;;2029|2|0|100;;2015|2|0|100;;2006|2|0|100;2032|2|0|100;2030|2|0|100;;2065|2|0|100;2057|2|0|100;2009|2|0|100;2010|2|0|100;2064|2|0|100;2066|2|0|100;2022|2|0|100;;2008|1|0|50
32;2031;ミノリコ;;2028|2|0|100;;2029|2|0|100;2018|2|0|100;2047|2|0|100;2046|2|0|100;2049|2|0|100;2032|2|0|100;2037|2|0|100;;2065|2|0|100;2039|2|0|100;2021|1|0|20;;;2066|2|0|100;2022|2|0|100;;
33;2032;モミジ;;;;2029|2|0|100;2018|2|0|100;2047|2|0|100;2046|2|0|100;2049|2|0|100;;2037|2|0|100;2033|2|0|100;2027|2|0|100;2039|2|0|100;2021|1|0|20;;;2066|2|0|100;2022|2|0|100;;
34;2033;ユウギ;;;;;2017|2|0|100;2012|2|0|100;2045|2|0|100;2049|2|0|100;2004|2|0|100;2005|2|0|100;2033|2|0|100;2027|2|0|100;2039|2|0|100;2021|1|0|20;;;2066|2|0|100;2022|2|0|100;2071|3|0|100;2008|2|0|100
35;2034;キスメ ;;2035|2|0|100;;;2017|2|0|100;2012|2|0|100;2045|2|0|100;;2004|2|0|100;2005|2|0|100;2033|2|0|100;2027|2|0|100;2039|2|0|100;2021|1|0|20;2055|2|0|100;;2066|2|0|100;2014_|2|0|100;2071|3|0|100;2008|2|0|100
36;2035;オリン;;2035|2|0|100;2038|2|0|100;;2007|3|0|100;2013|3|0|100;2003|3|0|100;2050|3|0|100;2051|3|0|100;2075|2|0|100;2072|3|0|50;;2056|2|0|50;2021|1|0|20;2055|2|0|100;2000|3|0|100;;2014_|2|0|100;2071|3|0|100;
37;2036;ヤマメ;2019|2|0|100;2035|2|0|100;2038|2|0|100;;2007|3|0|100;2013|3|0|100;2003|3|0|100;2050|3|0|100;2051|3|0|100;2075|2|0|100;2072|3|0|50;;2056|2|0|50;2021|1|0|20;2055|2|0|100;2000|3|0|100;2001|3|0|100;2014_|2|0|100;2071|3|0|100;
38;2037;サトリ;2019|2|0|100;;2038|2|0|100;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;2072|3|0|50;;2056|2|0|50;2021|1|0|20;;2000|3|0|100;2001|3|0|100;;2071|3|0|100;
39;2038;コイシ;;2040|2|0|100;;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;;;2056|2|0|50;;;2000|3|0|100;2001|3|0|100;;2071|3|0|100;
40;2039;うつほ;;2040|2|0|100;;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;2069|3|0|100;;2056|2|0|50;;2025|2|0|100;2000|3|0|100;2001|3|0|100;2067|2|0|100;;2008|2|0|100
41;2040;けーね;2019|2|0|100;2040|2|0|100;;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;2069|3|0|100;;2056|2|0|50;;2025|2|0|100;2000|3|0|100;;2067|2|0|100;;2008|2|0|100
42;2041;アリス;2019|2|0|100;2040|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;2069|3|0|100;2054|3|0|50;2056|2|0|50;2055|2|0|100;;2000|3|0|100;2043|3|0|100;;;
43;2042;オンリョウ;;2075|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;2069|3|0|100;2054|3|0|50;;2055|2|0|100;;2000|3|0|100;2043|3|0|100;;;
44;2043;チェン;;2075|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;;2054|3|0|50;;2055|2|0|100;;;2043|3|0|100;;;
45;2044;ラン_;;2075|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;;2054|3|0|50;;;;;2043|3|0|100;;;
46;2045;ユカリ;;2075|2|0|100;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;;;2054|3|0|50;;;2025|2|0|100;;;;;
47;2046;エイリン;;;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;;;2054|3|0|50;;;2025|2|0|100;;;;;
48;2047;カグヤ;;;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;2056|2|0|50;;;2033|3|0|100;;2025|2|0|100;;;;;
49;2048;テイ;;;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;2056|2|0|50;;;2033|3|0|100;;2025|2|0|100;;;;;
50;2049;モコウ;2019|2|0|100;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;;2027|3|0|100;2033|3|0|100;;;;;;;
51;2050;リグル;2019|2|0|100;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;2055|3|0|100;2027|3|0|100;2033|3|0|100;2070|3|0|50;;;;;;2008|3|0|100
52;2051;ミスティア;;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;2055|3|0|100;2027|3|0|100;;2070|3|0|50;;;2022|3|0|100;;;2008|3|0|100
53;2052;メルラン;2040|3|0|100;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;2055|3|0|100;2027|3|0|100;;2070|3|0|50;;;2022|3|0|100;;;
54;2053;リリカ;2040|3|0|100;2038|3|0|100;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;2056|2|0|50;2055|3|0|100;;;2070|3|0|50;2067|3|0|100;;2022|3|0|100;;;
55;2054;ルナサ;2040|3|0|100;2038|3|0|100;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;;2055|3|0|100;;;2070|3|0|50;2067|3|0|100;;2022|3|0|100;;;
56;2055;メディ;;;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;;2055|3|0|100;;;2070|3|0|50;2067|3|0|100;;2022|3|0|100;;;
57;2056;ユウカ;;;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;;2055|3|0|100;;;;2067|3|0|100;;2022|3|0|100;;;
