"ID";"Name"
"first_Home";"美鈴の詰め所"
"tutorial_Dungeon";"チュートリアルダンジョン"
"red_Dungeon";"紅のダンジョン"
"blue_Dungeon";"青のダンジョン"
"last_Dungeon";"最後のダンジョン"
"intro_Dungeon";"？？？"
"test_Dungeon";"テストダンジョン"
"red_extra_Dungeon";"紅のおまけダンジョン"
"blue_extra_Dungeon";"青のおまけダンジョン"
"purple_Dungeon";"紫のダンジョン"
"green_Dungeon";"緑のダンジョン"
"purple_extra_Dungeon";"紫のおまけダンジョン"
"green_extra_Dungeon";"緑のおまけダンジョン"
"99F_Dungeon";"99Fダンジョン"
"99F_ura_Dungeon";"99F裏ダンジョン"
"hell_Dungeon";"地獄ダンジョン"
"R10_99F_Dungeon";"例大祭10 99Fダンジョン"
"event_dream_Dungeon";"？？？"
"event_ending_Dungeon";"エンディング"
"ten_match_Dungeon";"十番勝負ダンジョン"
"no_food_Dungeon";"食べ物なしダンジョン"
"no_equip_Dungeon";"装備なしダンジョン"
