FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;2000|0|0|100;;2001|0|0|100;;;;;;;;;
2;;2000|1|0|100;2001|0|0|100;2001|1|0|100;;;2069|0|0|100;;;;;
3;;2050|0|0|100;2051|0|0|100;;2003|0|0|100;2013|0|0|100;2069|0|0|100;;2026|0|0|100;2031|0|0|100;;
4;;;;;2010|0|0|100;2013|0|0|100;2007|0|0|100;;2026|0|0|100;2031|0|0|100;;2055|0|0|100
5;;;;2032|0|0|100;2010|0|0|100;;;2022|0|0|100;;;2028|0|0|100;2055|0|0|100
6;2008|0|0|30;;;2032|0|0|100;2010|0|0|100;;;2022|0|0|100;;;2028|0|0|100;2055|0|0|100
7;2008|0|0|30;;;2032|0|0|100;;;;2056|0|0|100;2026|1|0|100;2031|1|0|100;2028|0|0|100;
8;2008|0|0|30;2009|0|0|100;2027|0|0|100;;;2018|0|0|100;;2056|0|0|100;2026|1|0|100;2031|1|0|100;;
9;;2009|0|0|100;2027|0|0|100;;2057|0|0|100;2018|0|0|100;2067|0|0|100;2056|0|0|100;2026|1|0|100;2031|1|0|100;2055|1|0|100;2070|1|0|100
10;;;;;2057|0|0|100;2018|0|0|100;2067|0|0|100;;;;2055|1|0|100;2070|1|0|100
11;;;;;2057|0|0|100;;2067|0|0|100;2022|1|0|100;;;2055|1|0|100;2070|1|0|100
12;;;;2032|1|0|100;2010|1|0|100;;;2022|1|0|100;;;;2070|1|0|100
13;2008|1|0|30;;;2032|1|0|100;2010|1|0|100;;;2022|1|0|100;;;2028|1|0|100;
14;2008|1|0|30;;2027|1|0|100;;;2057|1|0|100;;2022|1|0|100;;;2028|1|0|100;
