FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;;2000|0|0|100;2000|1|0|100;2001|0|0|100;2001|0|0|100;;;;;;;;
2;;;2000|1|0|100;;2001|0|0|100;2003|0|0|100;2013|0|0|100;2069|0|0|100;2050|0|0|100;2051|0|0|100;2072|0|0|100;;
3;;;2058|0|0|100;;;;;;2050|0|0|100;2051|0|0|100;2072|0|0|50;2014|0|0|25;
4;;2066|0|0|50;2058|0|0|100;;;;;;;;;2014|0|0|50;2055|0|0|100
5;;2066|0|0|50;2058|0|0|100;2059|0|0|100;2060|0|0|100;2063|0|0|100;;;2022|0|0|100;2019|0|0|100;;2014|0|0|50;2055|0|0|100
6;2008|0|0|50;2066|0|0|50;2058|0|0|100;2059|0|0|100;2060|0|0|100;2063|0|0|100;2064|0|0|100;;2022|0|0|100;2019|0|0|100;;2018|0|0|100;2055|0|0|100
7;2008|0|0|50;2066|0|0|50;;2059|0|0|100;2060|0|0|100;2063|0|0|100;2064|0|0|100;2009|0|0|100;2057|0|0|100;2019|0|0|100;2056|0|0|100;2018|0|0|100;
8;2008|0|0|50;;;;;;2064|0|0|100;2009|0|0|100;2057|0|0|100;;2056|0|0|100;;
9;;;2058|1|0|100;;;;;2001|2|0|100;2057|0|0|100;;2056|0|0|100;2055|1|0|100;2070|1|0|100
10;;2066|1|0|50;2058|1|0|100;2059|1|0|100;2060|1|0|100;2063|1|0|100;;2001|2|0|100;;;;2055|1|0|100;2070|1|0|100
11;;2066|1|0|50;2058|1|0|100;2059|1|0|100;2060|1|0|100;2063|1|0|100;2064|1|0|100;;2022|1|0|100;;2000|2|0|100;2055|1|0|100;2070|1|0|100
12;;2066|1|0|50;2027|1|0|100;2029|1|0|100;2032|1|0|100;;2064|1|0|100;2065|1|0|100;2022|1|0|100;;2000|2|0|100;;2025|1|0|100
13;2008|1|0|50;2066|1|0|50;2027|1|0|100;2029|1|0|100;2032|1|0|100;;2064|1|0|100;2065|1|0|100;2022|1|0|100;2021|0|0|50;2000|2|0|100;;2025|1|0|100
14;2008|1|0|50;;2030|1|0|100;;;2033|1|0|100;;2071|2|0|100;;2021|0|0|50;;;
15;2008|1|0|50;;2030|1|0|100;2038|1|0|100;;2033|1|0|100;;2071|2|0|100;;2021|0|0|50;;2039|1|0|100;
16;;2035|1|0|100;2030|1|0|100;2038|1|0|100;;2033|1|0|100;;2071|2|0|100;;2070|2|0|100;;2039|1|0|100;2018|1|0|100
17;2066|2|0|50;2035|1|0|100;2030|1|0|100;2038|1|0|100;;;;;2072|2|0|100;2070|2|0|100;;2039|1|0|100;2018|1|0|100
18;2066|2|0|50;2035|1|0|100;;2038|1|0|100;;;2064|2|0|100;;2072|2|0|100;2070|2|0|100;;;2056|1|0|100
19;2066|2|0|50;2035|1|0|100;2021|1|0|50;2038|1|0|100;2034|2|0|100;2036|2|0|100;2064|2|0|100;2065|2|0|100;2072|2|0|100;2070|2|0|100;;2010|2|0|100;2056|1|0|100
20;2066|2|0|50;2035|1|0|100;2021|1|0|50;;2034|2|0|100;2036|2|0|100;2064|2|0|100;2065|2|0|100;2072|2|0|100;2070|2|0|100;;2010|2|0|100;2056|1|0|100
21;;;2021|1|0|50;;2034|2|0|100;2036|2|0|100;2064|2|0|100;2065|2|0|100;;;2000|3|0|100;2010|2|0|100;
22;;;2030|2|0|100;;2034|2|0|100;2036|2|0|100;2009|2|0|100;;;2016|2|0|100;2000|3|0|100;;
23;;;2030|2|0|100;;2034|2|0|100;2036|2|0|100;2009|2|0|100;;;2016|2|0|100;2000|3|0|100;2014|2|0|50;2045|2|0|100
24;;2035|2|0|100;2030|2|0|100;2001|3|0|100;;;2009|2|0|100;;;2016|2|0|100;2039|2|0|100;2014|2|0|50;2045|2|0|100
25;2008|2|0|50;2035|2|0|100;2030|2|0|100;2001|3|0|100;2018|2|0|100;;;;2022|2|0|100;2016|2|0|100;2039|2|0|100;2014|2|0|50;2045|2|0|100
26;2008|2|0|50;2035|2|0|100;;2001|3|0|100;2018|2|0|100;;2037|2|0|100;2038|2|0|100;2022|2|0|100;2016|2|0|100;2039|2|0|100;2014|2|0|50;2045|2|0|100
27;2008|2|0|50;;;2001|3|0|100;2038|2|0|100;;2037|2|0|100;2038|2|0|100;2022|2|0|100;2016|2|0|100;2039|2|0|100;2014|2|0|50;2012|2|0|100
28;2019|2|0|100;2035|2|0|100;2033|2|0|100;2027|2|0|100;2038|2|0|100;2021|2|0|25;2037|2|0|100;2038|2|0|100;2022|2|0|100;;2039|2|0|100;;2012|2|0|100
29;2019|2|0|100;2035|2|0|100;2033|2|0|100;2027|2|0|100;2038|2|0|100;2021|2|0|25;2037|2|0|100;2038|2|0|100;2022|2|0|100;;;;2012|2|0|100
