A;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;;;;;2000|0|0|100;2001|0|0|100;;;;;;;;;;;;;
2;;;;;2000|0|0|100;2000|1|0|100;2001|0|0|100;2001|1|0|100;;;;;;;;;;;
3;;;2034|0|0|100;;2003|0|0|100;;2007|0|0|100;;;;;;;;2071|0|0|100;;;;
4;;;2034|0|0|100;;2003|0|0|100;;2007|0|0|100;2050|0|0|100;2051|0|0|100;2069|0|0|100;;;;2032|0|0|100;2071|0|0|100;;;;
5;;;2034|0|0|100;;;;;2050|0|0|100;2051|0|0|100;2069|0|0|100;;2002|0|0|100;;;;;;;
6;;;2034|0|0|100;;;;;2050|0|0|100;;2069|0|0|100;;2002|0|0|100;2043|0|0|100;2032|0|0|100;;;;2072|0|0|50;
7;;;;2058|1|0|100;;;;;;2069|0|0|100;;2002|0|0|100;2043|0|0|100;2032|0|0|100;2026|1|0|50;;;2072|0|0|50;
8;;;;2058|1|0|100;;;;;2060|0|0|100;;;2002|0|0|100;2043|0|0|100;;2026|1|0|50;;;2072|0|0|50;
9;2031|1|0|100;;;2058|1|0|100;2030|0|0|100;;;;2060|0|0|100;;2039|0|0|100;;;;2026|1|0|50;;;;
10;2031|1|0|100;;;2058|1|0|100;2030|0|0|100;;;2016|1|0|100;2060|0|0|100;;2039|0|0|100;;;;;;;;
11;2031|1|0|100;;;2058|1|0|100;2030|0|0|100;;;2016|1|0|100;2060|0|0|100;;2039|0|0|100;;;;;;;;
12;2031|1|0|100;;;;2023|1|0|100;;2068|1|0|100;2016|1|0|100;2050|1|0|100;2051|1|0|100;;;;;2071|1|0|100;;2014_|1|0|100;;
13;;;;;2023|1|0|100;;2068|1|0|100;2016|1|0|100;2050|1|0|100;2051|1|0|100;;;;;2071|1|0|100;;2014_|1|0|100;;
14;;2017|0|0|100;;;2023|1|0|100;;2068|1|0|100;2016|1|0|100;2050|1|0|100;2051|1|0|100;;;;;2071|1|0|100;;2014_|1|0|100;;
15;;2017|0|0|100;;;2023|1|0|100;2044|1|0|100;2068|1|0|100;2034|1|0|100;2050|1|0|100;2051|1|0|100;2070|1|0|100;2002|1|0|100;2069|1|0|100;;2071|1|0|100;;2014_|1|0|100;;
16;;;;;2023|1|0|100;2044|1|0|100;2036|1|0|100;2034|1|0|100;2041|1|0|100;;2070|1|0|100;2002|1|0|100;2069|1|0|100;;;2001|2|0|100;2014_|1|0|100;;
17;;;;;;2015|1|0|100;2036|1|0|100;;2041|1|0|100;;2070|1|0|100;2002|1|0|100;2069|1|0|100;2055|1|0|100;;2001|2|0|100;;;2008|0|0|100
18;;;;;;2015|1|0|100;2011|1|0|100;2058|2|0|100;2041|1|0|100;;;;2010|0|0|100;2055|1|0|100;2043|1|0|100;2001|2|0|100;;;2008|0|0|100
19;;2035|1|0|100;;;2037|1|0|100;2045|1|0|100;2011|1|0|100;2058|2|0|100;2060|1|0|100;;;2054|1|0|50;;2055|1|0|100;2043|1|0|100;;;;2008|0|0|100
20;;2035|1|0|100;;;2037|1|0|100;2049|1|0|100;2047|1|0|100;;2060|1|0|100;;;2054|1|0|50;;;;;;;
21;;2035|1|0|100;2028|1|0|100;2046|1|0|100;;2049|1|0|100;2047|1|0|100;2058|2|0|100;;;;;2027|1|0|100;;;2071|2|0|100;2022|1|0|100;;
22;;2040|1|0|100;2028|1|0|100;2046|1|0|100;2004|1|0|100;2005|1|0|100;2032|1|0|100;2010|1|0|100;;;;;2027|1|0|100;;;2071|2|0|100;2022|1|0|100;2066|1|0|100;
23;2019|1|0|100;2040|1|0|100;;;2004|1|0|100;2005|1|0|100;2032|1|0|100;2029|1|0|100;2027|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;;2000|2|0|100;;2071|2|0|100;2022|1|0|100;2066|1|0|100;
24;2019|1|0|100;;2075|1|0|100;;2030|1|0|100;2018|1|0|100;2032|1|0|100;2029|1|0|100;2027|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;2075|1|0|100;2000|2|0|100;2072|1|0|50;;;2066|1|0|100;
25;2019|1|0|100;2038|1|0|100;2075|1|0|100;;2030|1|0|100;2018|1|0|100;2032|1|0|100;2037|1|0|100;2039|1|0|100;2033|1|0|100;2071|2|0|100;2025|1|0|100;2075|1|0|100;2000|2|0|100;2072|1|0|50;;;2066|1|0|100;
