FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;;2000|0|0|100;;2001|0|0|100;;;;;;;;
2;;;2000|1|0|100;2001|0|0|100;2001|1|0|100;;;2069|0|0|100;;;;
3;;;2050|0|0|100;2051|0|0|100;;2003|0|0|100;2013|0|0|100;2069|0|0|100;;;;
4;;;2050|0|0|100;2051|0|0|100;2043|0|0|100;;2013|0|0|100;2007|0|0|100;2068|0|0|100;2054|0|0|100;;
5;;;;;2043|0|0|100;;;;2068|0|0|100;2054|0|0|100;;
6;;2012|0|0|100;;;2043|0|0|100;2044|0|0|100;;;;2054|0|0|100;;
7;2004|0|0|100;2012|0|0|100;;;;2044|0|0|100;;2069|1|0|100;;;;
8;2004|0|0|100;2012|0|0|100;;;;;;2069|1|0|100;;;2071|1|0|100;2057|0|0|100
9;2004|0|0|100;;;;2043|1|0|100;;;2069|1|0|100;2068|1|0|100;2070|1|0|100;2071|1|0|100;2057|0|0|100
10;;;;;2043|1|0|100;2044|1|0|100;;2069|1|0|100;2068|1|0|100;2070|1|0|100;;
11;;;;;2043|1|0|100;2044|1|0|100;;;2068|1|0|100;2054|1|0|100;;
12;;2012|1|0|100;2011|1|0|100;;;2044|1|0|100;;;;2054|1|0|100;;
13;2004|1|0|100;2012|1|0|100;2011|1|0|100;2045|1|0|100;;;;;;2054|1|0|100;;
14;2004|1|0|100;2012|1|0|100;2011|1|0|100;2045|1|0|100;;2009|1|0|100;2057|1|0|100;;;;;
