FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;;2000|0|0|100;2000|1|0|100;2069|0|0|20;2051|0|0|100;;;;;2001|0|0|100;2001|1|0|100;;;;;;;2050|0|0|100;;;;;;2072|0|0|20;
2;;;2000|1|0|100;2069|0|0|40;2051|0|0|100;;;;;;2001|1|0|100;2003|0|0|100;2007|0|0|100;;;;;2050|0|0|100;;;;;;2072|0|0|20;
3;;2014|0|0|100;;2043|0|0|100;;;2048|0|0|100;;2058|0|0|100;2057|0|0|20;;2028|0|0|100;2068|0|0|100;2026|0|0|50;2031|0|0|50;;2027|0|0|20;;2008|0|0|100;2009|0|0|20;2010|0|0|100;2033|0|0|100;;;2054|0|0|100
4;;2014|0|0|100;;2043|0|0|100;;2017|0|0|100;2048|0|0|100;;2058|0|0|100;2057|0|0|20;;2028|0|0|100;2068|0|0|100;2026|0|0|50;2031|0|0|50;;2027|0|0|20;;2008|0|0|100;2009|0|0|20;2010|0|0|100;2033|0|0|100;;;2054|0|0|100
5;;;;;2051|1|0|100;2017|0|0|100;;2049|0|0|100;;2040|0|0|100;;;;;;2012|0|0|100;2011|0|0|100;;;2029|0|0|100;;2018|0|0|30;2025|0|0|100;2072|0|0|20;
6;;;;2069|1|0|40;2051|1|0|100;2043|1|0|100;;2049|0|0|100;;2040|0|0|100;;;;;;2012|0|0|100;2011|0|0|100;;;2029|0|0|100;;2018|0|0|30;2025|0|0|100;2072|0|0|20;
7;;;;2069|1|0|40;;2043|1|0|100;2044|1|0|100;;;2075|0|0|100;;;2068|1|0|100;;;2012|0|0|100;2011|0|0|100;;;2029|0|0|100;;2018|0|0|30;2025|0|0|100;2072|0|0|20;
8;;;;;;2043|1|0|100;2044|1|0|100;;;2075|0|0|100;;;2068|1|0|100;;;;;;;2029|0|0|100;;2018|0|0|30;2025|0|0|100;2072|0|0|20;
9;2019|1|0|100;2014|1|0|50;;;;;2044|1|0|100;;;;;;;;2032|1|0|100;;;;;;;;;2072|1|0|20;2054|1|0|100
10;2019|1|0|100;2014|1|0|50;;;;;2044|1|0|100;;;;;;;;2032|1|0|100;2012|1|0|100;2011|1|0|100;;;;;;;2072|1|0|20;2054|1|0|100
11;2019|1|0|100;2014|1|0|50;;;;;;;;;;;;;2032|1|0|100;2012|1|0|100;2011|1|0|100;;;;;;;2072|1|0|20;2054|1|0|100
12;;2014|2|0|50;2000|2|0|20;;;;;;2058|1|0|100;;2057|1|0|100;2028|1|0|100;;2026|2|0|50;2031|2|0|50;2012|1|0|100;2011|1|0|100;2050|1|0|100;2008|1|0|100;2009|1|0|20;2010|1|0|100;2033|1|0|100;;;
13;;2014|2|0|100;2000|2|0|40;;;;;;2058|1|0|100;;2057|1|0|100;2028|1|0|100;;2026|2|0|50;2031|2|0|50;;2027|1|0|100;2050|1|0|100;2008|1|0|100;2009|1|0|20;2010|1|0|100;2033|1|0|100;;;
14;;2014|2|0|50;2000|2|0|20;;;;;;2058|1|0|100;;2057|1|0|100;2028|1|0|100;;2026|2|0|50;2031|2|0|50;;2027|1|0|100;2050|1|0|100;2008|1|0|100;2009|1|0|20;2010|1|0|100;2033|1|0|100;;;
15;2019|2|0|100;;;;;2043|1|0|100;;2049|2|0|100;;2040|1|0|100;;2003|2|0|100;;;;;;;;2029|1|0|100;;2018|1|0|30;2025|1|0|100;2072|1|0|20;
16;2019|2|0|100;;;;;2043|1|0|100;2044|1|0|100;2049|2|0|100;;2040|1|0|100;2001|3|0|20;2003|2|0|100;2007|2|0|40;;;;;;;2029|1|0|100;;2018|1|0|30;2025|1|0|100;2072|1|0|20;
17;;;;2069|2|0|40;;2043|1|0|100;2044|1|0|100;;;2075|1|0|100;2001|3|0|20;;2007|2|0|100;;;2012|2|0|100;;;;2029|1|0|100;;2018|1|0|30;2025|1|0|100;2072|1|0|20;
18;;;;2069|2|0|40;;2043|1|0|100;2044|1|0|100;;;2075|1|0|100;;;2007|2|0|40;;;2012|2|0|100;2011|2|0|100;;;2029|1|0|100;;2018|1|0|30;2025|1|0|100;2072|1|0|20;
19;2019|3|0|100;2014|3|0|100;2000|2|0|100;2069|2|0|40;;2017|2|0|100;2045|2|0|100;2055|2|0|100;;;;;2068|2|0|100;;2032|2|0|100;2012|2|0|100;2011|2|0|100;;;;;2033|2|0|100;2021|0|0|100;2072|2|0|20;
20;2019|3|0|100;2014|3|0|100;2000|2|0|100;;;2017|2|0|100;2045|2|0|100;2055|2|0|100;;;;;2068|2|0|100;;2032|2|0|100;2012|2|0|100;2011|2|0|100;;;;;2033|2|0|100;2021|0|0|100;2072|2|0|20;
