FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
1;2000|0|0|100;2000|1|0|100;;2001|0|0|100;2013|0|0|30;;;;;;;;;;;;;;;;
2;;2000|1|0|100;;2001|1|0|100;2013|0|0|100;2003|0|0|100;;;;2031|0|0|50;2026|0|0|50;;;;2069|0|0|100;2007|0|0|100;2072|0|0|10;2023|0|0|20;;;
3;;;;;2013|0|0|30;2003|0|0|40;;;2004|0|0|20;;;;;;;2006|0|0|50;2072|0|0|10;2023|0|0|100;2002|0|0|200;;
4;;;;;;;;;2004|0|0|40;;;2010|0|0|50;2032|0|0|30;;2069|1|0|40;2006|0|0|100;2072|0|0|20;2023|0|0|20;2002|0|0|200;;
5;;;2008|1|0|30;;;;2028|0|0|100;2005|0|0|20;2004|0|0|80;;;2010|0|0|50;2032|0|0|100;;;2006|0|0|100;2072|0|0|20;2023|1|0|20;2002|0|0|100;;
6;;;2008|1|0|30;;2013|1|0|30;;2028|0|0|50;2005|0|0|30;2004|0|0|100;;;2010|0|0|50;2032|0|0|30;;;2006|0|0|50;2072|0|0|10;2023|1|0|20;2002|1|0|30;;2027|0|0|20
7;2019|1|0|100;2014|1|0|30;2008|1|0|30;;2013|1|0|100;2003|1|0|100;;2005|0|0|40;2004|0|0|80;2031|1|0|50;2026|1|0|50;;;;;2007|1|0|100;2072|0|0|10;2023|1|0|20;2002|1|0|70;2057|0|0|20;2027|0|0|100
8;;2014|1|0|30;;2040|1|0|30;2013|1|0|30;2003|1|0|40;;;;;;;2015|1|0|50;2016|1|0|100;;2007|1|0|100;;2023|1|0|20;2002|1|0|100;2057|0|0|100;2027|0|0|20
9;;;;2040|1|0|60;;;2012|1|0|40;2011|1|0|40;;;;2018|0|0|100;2015|1|0|100;2016|1|0|100;2006|1|0|100;2007|1|0|100;2072|1|0|10;2023|1|0|20;2002|1|0|100;2057|0|0|20;
10;;;;2040|1|0|60;;;2012|1|0|100;2011|1|0|100;;;;2018|0|0|100;2015|1|0|100;2016|1|0|100;2006|1|0|200;;2072|1|0|10;2023|1|0|20;2002|1|0|100;;
11;2019|1|0|100;2014|1|0|100;;2040|1|0|30;;;2012|1|0|40;2011|1|0|40;;;;2018|0|0|100;2015|1|0|100;2016|1|0|100;2006|1|0|200;;2072|1|0|10;2023|1|0|20;2002|1|0|100;;
12;;2014|1|0|100;;;;;2028|1|0|100;;;2031|2|0|50;2026|2|0|50;;2015|1|0|50;2016|1|0|100;2006|1|0|100;;2072|1|0|20;2023|1|0|20;2002|1|0|100;;
13;;2000|2|0|100;2008|2|0|30;2021|0|0|50;2029|1|0|30;;2028|1|0|50;2005|1|0|100;2004|1|0|100;2004|2|0|10;;2010|1|0|50;2032|1|0|30;;;2007|2|0|20;2072|1|0|20;2023|2|0|20;2002|1|0|100;2057|1|0|20;2027|1|0|20
14;;2000|2|0|100;2008|2|0|30;2021|0|0|50;2029|1|0|30;;;2005|1|0|150;2004|1|0|100;2004|2|0|40;;2010|1|0|50;2032|1|0|100;;;2007|1|0|100;2072|1|0|10;2023|2|0|20;2002|1|0|100;2057|1|0|20;2027|1|0|100
15;2019|2|0|100;2014|2|0|100;2008|2|0|100;2021|0|0|50;2029|1|0|30;;;2005|1|0|200;2004|1|0|100;2004|2|0|80;;2010|1|0|50;2032|1|0|30;;;2007|1|0|100;2072|1|0|10;2023|2|0|40;2002|1|0|100;2057|1|0|20;2027|1|0|20
