"FloorNum";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG";"èoåªìG"
1;;"2023|0|0|100";"2071|0|0|100";"2003|0|0|30";"2000|0|0|100";"2001|0|0|100";"2013|0|0|100";;;;;
2;;"2004|1|0|100";"2005|1|0|100";;"2006|1|0|100";"2007|1|0|100";"2015|1|0|100";"2023|1|0|100";;;;
3;"2072|1|0|200";"2038|1|0|300";"2008|1|0|200";"2017|1|0|100";"2040|1|0|100";;"2051|1|0|100";;;;;
4;"2039|2|0|50";"2047|2|0|50";"2046|2|0|50";"2049|2|0|50";"2048|2|0|100";"2001|2|0|100";"2015|2|0|50";"2000|2|0|100";;;;
5;"2055|2|0|100";"2036|2|0|100";"2028|2|0|100";"2022|2|0|100";"2040|2|0|100";"2012|2|0|100";"2011|2|0|100";;;;;
6;"2018|3|0|100";"2013|3|0|100";"2057|3|0|100";"2070|3|0|100";"2029|3|0|100";"2060|3|0|100";;"2027|3|0|100";;;;
7;"2030|3|0|100";"2056|3|0|100";"2035|3|0|100";"2029|3|0|100";"2025|3|0|100";"2068|3|0|100";;;;;;
8;;"2067|4|0|100";"2075|4|0|100";"2041|4|0|100";"2050|4|0|100";"2054|4|0|100";"2066|4|0|100";;;;;
9;"2065|4|0|100";"2064|4|0|100";;"2032|4|0|100";"2034 |4|0|100";"2037|4|0|100";;;;;;
10;"2043|5|0|100";"2044|5|0|100";"2045|5|0|100";;"2063|5|0|100";"2070|5|0|50";"2027|5|0|100";"2033|5|0|100";;;;
11;;;;;;;;;;;;
12;;;;;;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
