"ID";"名前";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵";"出現敵"
2000;"ノラケダマ";;"2023|0|0|100";"2071|0|0|100";"2003|0|0|30";"2000|0|0|100";"2001|0|0|100";"2013|0|0|100";;;;
2001;"ザコF_";;"2004|1|0|100";"2005|1|0|100";;"2006|1|0|100";"2007|1|0|100";"2015|1|0|100";"2023|1|0|100";;;
2002;"メイドF_";"2072|1|0|200";"2038|1|0|300";"2008|1|0|200";"2017|1|0|100";"2040|1|0|100";;"2051|1|0|100";;;;
2003;"ダイF_";"2039|2|0|50";"2047|2|0|50";"2046|2|0|50";"2049|2|0|50";"2048|2|0|100";"2001|2|0|100";"2015|2|0|50";"2000|2|0|100";;;
2004;"レミリア";"2055|2|0|100";"2036|2|0|100";"2028|2|0|100";"2022|2|0|100";"2040|2|0|100";"2012|2|0|100";"2011|2|0|100";;;;
2005;"フラン";"2018|3|0|100";"2013|3|0|100";"2057|3|0|100";"2070|3|0|100";"2029|3|0|100";"2060|3|0|100";;"2027|3|0|100";;;
2006;"サクヤ";"2030|3|0|100";"2056|3|0|100";"2035|3|0|100";"2029|3|0|100";"2025|3|0|100";"2068|3|0|100";;;;;
2007;"ルーミア";;"2067|4|0|100";"2075|4|0|100";"2041|4|0|100";"2050|4|0|100";"2054|4|0|100";"2066|4|0|100";;;;
2008;"ニトリ";"2065|4|0|100";"2064|4|0|100";;"2032|4|0|100";"2034 |4|0|100";"2037|4|0|100";;;;;
2009;"エイキ";"2043|5|0|100";"2044|5|0|100";"2045|5|0|100";;"2063|5|0|100";"2070|5|0|50";"2027|5|0|100";"2033|5|0|100";;;
2010;"ヒナ";;;;;;;;;;;
2011;"ユユコ";;;;;;;;;;;
2012;"ヨウム";;;;;;;;;;;
2013;"チルノ";;;;;;;;;;;
2014;"マリサ";;;;;;;;;;;
2015;"パチュ";;;;;;;;;;;
2016;"コアクマ";;;;;;;;;;;
2017;"ウドンゲ";;;;;;;;;;;
2018;"アヤ";;;;;;;;;;;
2019;"レイム";;;;;;;;;;;
2020;"リンノスケ";;;;;;;;;;;
2021;"ケダマアシュ";;;;;;;;;;;
2022;"さなえ";;;;;;;;;;;
2023;"メイリン";;;;;;;;;;;
2024;"トキコ";;;;;;;;;;;
2025;"イク";;;;;;;;;;;
2026;"シズハ";;;;;;;;;;;
2027;"スイカ";;;;;;;;;;;
2028;"スワコ";;;;;;;;;;;
2029;"テンシ";;;;;;;;;;;
2030;"パルスィ";;;;;;;;;;;
2031;"ミノリコ";;;;;;;;;;;
2032;"モミジ";;;;;;;;;;;
2033;"ユウギ";;;;;;;;;;;
2034;"キスメ";;;;;;;;;;;
2035;"オリン";;;;;;;;;;;
2036;"ヤマメ";;;;;;;;;;;
2037;"サトリ";;;;;;;;;;;
2038;"コイシ";;;;;;;;;;;
2039;"うつほ";;;;;;;;;;;
2040;"けーね";;;;;;;;;;;
2041;"アリス";;;;;;;;;;;
2042;"オンリョウ";;;;;;;;;;;
2043;"チェン";;;;;;;;;;;
2044;"ラン_";;;;;;;;;;;
2045;"ユカリ";;;;;;;;;;;
2046;"エイリン";;;;;;;;;;;
2047;"カグヤ";;;;;;;;;;;
2048;"テイ";;;;;;;;;;;
2049;"モコウ";;;;;;;;;;;
2050;"リグル";;;;;;;;;;;
2051;"ミスティア";;;;;;;;;;;
2052;"メルラン";;;;;;;;;;;
2053;"リリカ";;;;;;;;;;;
2054;"ルナサ";;;;;;;;;;;
2055;"メディ";;;;;;;;;;;
2056;"ユウカ";;;;;;;;;;;
2057;"コマチ";;;;;;;;;;;
2058;"ナズーリン";;;;;;;;;;;
2059;"コガサ";;;;;;;;;;;
2060;"イチリン";;;;;;;;;;;
2061;"イチリンノミ";;;;;;;;;;;
2062;"ウンザン";;;;;;;;;;;
2063;"ムラサ";;;;;;;;;;;
2064;"トラマル";;;;;;;;;;;
2065;"ヒジリ";;;;;;;;;;;
2066;"ヌエ";;;;;;;;;;;
2067;"カナコ";;;;;;;;;;;
2068;"レティ";;;;;;;;;;;
2069;"リリー";;;;;;;;;;;
2070;"ハタテ";;;;;;;;;;;
2071;"ゾンビF_";;;;;;;;;;;
2072;"サニー";;;;;;;;;;;
2073;"ルナ";;;;;;;;;;;
2074;"スター";;;;;;;;;;;
2075;"Exケーネ";;;;;;;;;;;
;;;;;;;;;;;;
2054;"三姉妹";;;;;;;;;;;
2072;"三月精";;;;;;;;;;;
