$/WL=壁|||||||||||||||||||||||||||||||||||||||
$/WE=壁端(破壊不可能)|||||||||||||||||||||||||||||||||||||||
$/WT=水|||||||||||||||||||||||||||||||||||||||
$/-1=通路|||||||||||||||||||||||||||||||||||||||
$/0以上の整数=部屋（数字が部屋番号）|||||||||||||||||||||||||||||||||||||||
$/Y0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WT|WT|WL|WL|WL|WL|5|5|5|5|5|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|WL|WL|WL|WL
WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WT|WL|WL|WL|WL|5|5|5|5|5|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL
WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WT|WT|-1|-1|-1|5|5|5|5|5|-1|-1|2|2|2|2|WL|2|2|2|2|2|2|2|2|2|WL
WL|WL|WL|WL|WL|WL|WL|WT|1|WT|1|WT|WL|WL|WT|-1|WL|WL|5|5|5|5|5|WL|WL|2|2|WL|WL|WL|2|2|2|WT|2|WT|WT|2|2|2
WL|WL|WL|WL|WL|WL|WL|1|WT|1|WT|1|WL|WL|WT|-1|WL|WL|5|5|5|5|5|WL|WL|2|2|2|2|WL|2|2|WL|2|2|2|WT|2|2|2
WL|WL|WL|WL|WL|WL|WL|WT|1|WL|1|WT|1|-1|-1|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|2|2|2|WL|2|WL|2|2|2|2|2|2|WL|2
WL|WL|WL|WL|WL|WL|WL|1|WT|WT|WT|1|WT|WT|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|WL|WL|2|WL|2|WL|2|WL|2|2|2|WL
WL|-1|-1|-1|WL|WL|WL|WT|1|WT|WT|WT|WT|WT|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|2|2|2|2|WL|2|WL|2|WL|WT|WL|2|2
WL|-1|-1|-1|-1|-1|-1|1|WT|WL|WL|WT|WT|WT|WT|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|WL|2|WL|WL|WL|2|WL|2|2|2|2|2|2
WL|-1|-1|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|2|2|2|2|2|2|WL|WL|WL|WT|WL|2|2
$/Y10|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|WT|2|2
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|2|2|2|2
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|-1|WT|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WT|WT|WT|WL|WL|WL|WL|WL|WL|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|WT|WT
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WT|WT|WT|3|3|WL|WL|WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
