ID;usefulNameBase;uniqueName;surfaceName;属性;死亡ドロップアイテムID;強特攻耐性;特攻耐性;強元気耐性;元気耐性;強頑強耐性;頑強耐性;強特攻弱点;特攻弱点;強脱力弱点;脱力弱点;強軟弱弱点;軟弱弱点;$/クラス;出現階;経験値;MHP;攻撃力;防御力;デフォルト速度移動;デフォルト速度攻撃;$/メモ;特殊使用率;特殊消費SP;$/メモ;汎用定数一;$/メモ;汎用定数二;$/メモ;汎用定数三;$/メモ;汎用定数四
2000;ノラケダマ;ノラケダマ;ノラケダマ;毛玉;0|970;;;;;;;;;;;;;CLASS 0;1;2;5;2;0;0;0;;0;0;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;1;4;7;4;0;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;18;80;20;29;120;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;300;20;50;170;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;58;1200;20;65;220;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;58;1320;20;72;242;0;0;;0;0;;0;;0;;0;;0
2001;ザコヨウセイ;ザコヨウセイ;ザコヨウセイ;妖精;0|970;;;;;;;;;;冷;;;CLASS 0;1;3;6;3;3;0;0;;0;0;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;2;5;10;5;4;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;14;25;45;23;7;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;38;180;90;50;7;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;64;900;170;82;9;0;0;;0;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;64;990;187;90;10;0;0;;0;0;;0;;0;;0;;0
2002;メイドヨウセイ;メイドヨウセイ;メイドヨウセイ;妖精;0|940;;;;;;;;;;;;;CLASS 0;4;13;12;8;5;0;0;弾幕発射;90;10;射程;10;発射弾ID;2000;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;10;25;35;20;7;0;0;;90;10;;10;;2001;;0;;0
;;;;;2000|30;;;;;;;;;;;;;CLASS 2;26;75;65;45;12;0;0;;90;10;;15;;2004;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;38;130;85;52;15;0;0;;90;10;;20;;2004;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;72;950;140;130;20;0;0;;90;5;;20;;2004;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;72;1000;154;146;22;0;0;;90;5;;20;;2004;;0;;0
2003;ダイヨウセイ;ダイヨウセイ;ダイヨウセイ;妖精;0|970;;;;;;;;;;;;;CLASS 0;3;8;10;6;3;0;0;目の前にワープ;100;100;ヒットアンドアウェイ確率％;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;8;20;47;18;5;0;0;;100;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;85;80;37;5;0;0;;100;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;220;125;55;10;0;0;;100;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;1300;240;130;13;0;0;;100;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;1460;264;143;14;0;0;;100;0;;0;;0;;0;;0
2004;レミリア;レミリア;レミリア;吸血鬼;0|960;;;;;;;;;;水;;水;CLASS 0;8;48;42;16;3;0;0;HP吸収;40;20;HP吸収率;40;;0;HP吸収率;40;;0
