"ID";"$/キャラ";攻撃命中力;攻撃回避力;アイテム回避力;"初期配置深い居眠り確率係数";"初期配置浅い居眠り確率係数";"初期配置覚醒確率係数";"水上歩行";"壁中歩行"
2000;ノラケダマ;100;6;6;;;;;
2001;ザコヨウセイ;100;6;6;;;;;
2002;メイドヨウセイ;100;6;6;;;;;
2003;ダイヨウセイ;100;6;6;;;;;
2004;レミリア;100;6;6;;;;;
2005;フランドール;100;6;6;;;;;
2006;サクヤ;100;6;6;;;;;
2007;ルーミア;100;6;6;;;;1;
2008;ニトリ;100;6;6;;;;1;
2009;エイキ;100;6;6;;;;;
2010;ヒナ;100;6;6;;;;1;
2011;ユユコ;100;6;6;;;;1;1
2012;ヨウム;100;6;6;;;;;
2013;チルノ;100;6;6;;;;;
2014;マリサ;100;6;6;0;200;0;;
2015;パチュリー;100;6;6;;;;;
2016;コアクマ;100;6;6;;;;;
2017;ウドンゲ;100;6;6;;;;;
2018;アヤ;100;6;6;;;;1;
2019;レイム;100;6;6;;;;;
2020;リンノスケ;100;6;6;0;0;100;;
2021;ノラケダマアシュ;100;6;6;0;200;0;;
2022;サナエ;100;6;6;;;;;
2023;メイリン;100;6;6;;;;;
2024;トキコ;100;6;6;;;;;
2025;イク;100;6;6;;;;1;
2026;シズハ;100;6;6;;;;;
2027;スイカ;100;6;6;;;;;
2028;スワコ;100;6;6;;;;1;
2029;テンシ;100;6;6;;;;;
2030;パルスィ;100;6;6;;;;;
2031;ミノリコ;100;6;6;;;;;
2032;モミジ;100;6;6;;;;;
2033;ユウギ;100;6;6;;;;;
2034;キスメ;100;6;6;;;;1;
2035;オリン;100;6;6;;;;;
2036;ヤマメ;100;6;6;;;;;
2037;サトリ;100;6;6;;;;;
2038;コイシ;100;6;6;;;;;
2039;ウツホ;100;6;6;;;;;
2040;ケイネ;100;6;6;100;0;0;;
2041;アリス;100;6;6;;;;;
2042;オンリョウ;100;6;6;;;;1;
2043;チェン;100;6;6;;;;;
2044;ラン;100;6;6;;;;;
2045;ユカリ;100;6;6;;;;1;1
2046;エイリン;100;6;6;;;;;
2047;カグヤ;100;6;6;;;;;
2048;テイ;100;6;6;;;;;
2049;モコウ;100;6;6;;;;;
2050;リグル;100;6;6;;;;;
2051;ミスティア;100;6;6;;;;;
2053;メルラン;100;6;6;;;;;
2054;リリカ;100;6;6;;;;;
2055;ルナサ;100;6;6;;;;;
2055;メディスン;100;6;6;;;;;
2056;ユウカ;100;6;6;;;;;
2057;コマチ;100;6;6;;;;;
2058;ナズーリン;100;6;6;;;;;
2059;コガサ;100;6;6;;;;1;
2060;イチリン;80;6;6;;;;;
2061;イチリンノミ;100;6;6;;;;;
2062;ウンザン;100;6;6;;;;1;
2063;ムラサ;100;6;6;;;;;
2064;トラマル;100;6;6;;;;;
2065;ヒジリ;100;6;6;;;;;
2066;ヌエ;100;6;6;;;;;
2067;カナコ;100;6;6;;;;;
2068;レティ;100;6;6;;;;;
2069;リリー;100;6;6;;;;;
2070;ハタテ;100;6;6;;;;;
2071;ゾンビフェアリー;100;6;6;;;;;
2072;サニーミルク;100;6;6;;;;;
2073;ルナチャイルド;100;6;6;;;;;
2074;スターサファイア;100;6;6;;;;;
2075;キモケイネ;100;6;6;;;;;
2076;カセン;100;6;6;;;;;
2077;オオワシ;100;6;6;;;;1;
2078;ライジュウ;100;6;6;;;;;
2079;ザコウサギ;100;6;6;;;;;
2080;ジバクニンギョウ;100;6;6;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
2021;"ノラケダマアシュ";;;;;;;;
