ID;$/レベル;surfaceName;uniqueName;usefulName;属性
3002;;オオダマアオ;オオダマアオ;オオダマアオ;弾幕
3003;;オオダママゼンタ;オオダママゼンタ;オオダママゼンタ;弾幕
3004;;オオダマアカ;オオダマアカ;オオダマアカ;弾幕
3005;;オオダマダイダイ;オオダマダイダイ;オオダマダイダイ;弾幕
3006;;オオダマキイロ;オオダマキイロ;オオダマキイロ;弾幕
3007;;オオダマミドリ;オオダマミドリ;オオダマミドリ;弾幕
3008;;オオダマシアン;オオダマシアン;オオダマシアン;弾幕
3009;;オオダマクロ;オオダマクロ;オオダマクロ;弾幕
3010;;オオダマフラツキアオ;オオダマフラツキアオ;オオダマフラツキアオ;弾幕
3011;;オオダマフラツキマゼンタ;オオダマフラツキマゼンタ;オオダマフラツキマゼンタ;弾幕
3012;;オオダマフラツキアカ;オオダマフラツキアカ;オオダマフラツキアカ;弾幕
3013;;オオダマフラツキダイダイ;オオダマフラツキダイダイ;オオダマフラツキダイダイ;弾幕
3014;;オオダマフラツキキイロ;オオダマフラツキキイロ;オオダマフラツキキイロ;弾幕
3015;;オオダマフラツキミドリ;オオダマフラツキミドリ;オオダマフラツキミドリ;弾幕
3016;;オオダマフラツキシアン;オオダマフラツキシアン;オオダマフラツキシアン;弾幕
3017;;オオダマフラツキクロ;オオダマフラツキクロ;オオダマフラツキクロ;弾幕
