ID;usefulNameBase;値段基礎値;レア度;imagecolorConcrete;魔法難度;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎
6000;メランコリーブック;$?PRICE_BOOK_B;$?RARITY_C;FFAA44FF;3;鬱効果ターン;10;;;;;;
6001;健脚の魔導書;$?PRICE_BOOK_D;$?RARITY_D;FFDDFFFF;4;倍速効果ターン;10;;;;;;
6002;千里眼の魔導書;$?PRICE_BOOK_D;$?RARITY_D;FFFFFF44;1;壁反射回数;10;;;;;;
6003;トンネルの魔導書;$?PRICE_BOOK_A;$?RARITY_C;FFBB8844;2;ダメージ;10;;;;;;
6004;火炎の魔導書;$?PRICE_BOOK_B;$?RARITY_D;FFFF4400;3;火柱マス;1;;;;;;
6005;水脈の魔導書;$?PRICE_BOOK_C;$?RARITY_D;FF0088FF;3;ダメージ;10;;;;;;
6006;奇跡の魔導書;$?PRICE_BOOK_A;$?RARITY_C;FF55FF88;3;;;;;;;;
6007;回復の魔導書;$?PRICE_BOOK_E;$?RARITY_D;FF88FF44;3;回復量;100;;;;;;
6008;幸せの魔導書;$?PRICE_BOOK_S;$?RARITY_B;FFFF88FF;5;経験値;500;;;;;;
6009;不幸の魔導書;$?PRICE_BOOK_S;$?RARITY_B;FF008800;4;レベルダウン;1;;;;;;
6010;吹き飛ばしの魔導書;$?PRICE_BOOK_E;$?RARITY_D;FF448844;2;吹き飛ばし距離;10;ダメージ;5;;;;
6011;引き寄せの魔導書;$?PRICE_BOOK_E;$?RARITY_D;FF444488;2;引き寄せ距離;100;;;;;;
6012;場所替えの魔導書;$?PRICE_BOOK_D;$?RARITY_D;FF884444;3;;;;;;;;
6013;金縛りの魔導書;$?PRICE_BOOK_B;$?RARITY_D;FFAAFF00;3;ターン;50;;;;;;
6014;泥酔の魔導書;$?PRICE_BOOK_B;$?RARITY_D;FFFF8800;3;ターン;10;;;;;;
6015;封印の魔導書;$?PRICE_BOOK_C;$?RARITY_D;FFFF0000;2;ターン;100;;;;;;
6016;空振りの魔導書;$?PRICE_BOOK_A;$?RARITY_C;FF00FFFF;4;ターン;20;;;;;;
6017;貧乏の魔導書;$?PRICE_BOOK_B;$?RARITY_C;FF998855;3;ターン;20;;;;;;
6018;パチュリーの魔導書（敵専用）;0;$?RARITY_SP;FF00FFFF;3;;;;;;;;
6019;文の風の魔導書（敵専用）;0;$?RARITY_SP;FF00FFFF;3;;;;;;;;
