ID;usefulNameBase;値段基礎値;レア度;デフォルト大局識別済み;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎
7000;空箱;$?PRICE_BOX_E;$?RARITY_C;;;;;;;;;;;;;;;;;
7001;ありがたい箱;$?PRICE_BOX_SS;$?RARITY_S;;;;;;;;;;;;;;;;;
7002;弁当箱;$?PRICE_BOX_D;$?RARITY_D;1;;;;;;;;;;;;;;;;
7003;水筒箱;$?PRICE_BOX_D;$?RARITY_D;1;;;;;;;;;;;;;;;;
7004;本箱;$?PRICE_BOX_D;$?RARITY_D;1;;;;;;;;;;;;;;;;
7005;弾幕箱;$?PRICE_BOX_D;$?RARITY_D;1;;;;;;;;;;;;;;;;
7006;スペル箱;$?PRICE_BOX_D;$?RARITY_B;1;;;;;;;;;;;;;;;;
7007;武具箱;$?PRICE_BOX_D;$?RARITY_C;1;;;;;;;;;;;;;;;;
7008;箱の箱;$?PRICE_BOX_D;$?RARITY_SP;1;;;;;;;;;;;;;;;;
7009;貯金箱;$?PRICE_BOX_D;$?RARITY_D;1;;;;;;;;;;;;;;;;
7010;賽銭箱;$?PRICE_BOX_D;$?RARITY_B;1;;;;;;;;;;;;;;;;
7011;救急箱;$?PRICE_BOX_C;$?RARITY_F;;最低回復量%;50;最大回復量;50;;;;;;;;;;;;
7012;流転の箱;$?PRICE_BOX_A;$?RARITY_B;;;;;;;;;;;;;;;;;
7013;変化の箱;$?PRICE_BOX_C;$?RARITY_E;;;;;;;;;;;;;;;;;
7014;合成の箱;$?PRICE_BOX_A;$?RARITY_C;;;;;;;;;;;;;;;;;
7015;小さなつづら;$?PRICE_BOX_B;$?RARITY_A;;アイテム出現数;3;;;;;;;;;;;;;;
7016;大きなつづら;$?PRICE_BOX_B;$?RARITY_A;;敵出現数;3;;;;;;;;;;;;;;
7017;宝箱;$?PRICE_BOX_A;$?RARITY_C;1;レア度（少ないほどレア）0~100;7;;;;;;;;;;;;;;
7018;パンドラの箱;$?PRICE_BOX_B;$?RARITY_A;;アイテム出現数;3;敵出現数;3;脱力度;3;脱力ターン;10;軟弱度;3;軟弱ターン;10;;;;
7019;玉手箱;$?PRICE_BOX_B;$?RARITY_C;;軟弱度;10;軟弱ターン;500;;;;;;;;;;;;
7020;復活の箱;$?PRICE_BOX_B;$?RARITY_C;;Hp回復率;100;最低回復量;50;;;;;;;;;;;;
7021;強化の箱;$?PRICE_BOX_S;$?RARITY_B;;装備品修正;1;巻物修正;1;飲み物修正;1;本修正難度１;1;本修正難度２;1;本修正難度３;1;本修正難度４;1;本修正難度５;1
7022;弱化の箱;$?PRICE_BOX_C;$?RARITY_C;;装備品修正;2;巻物修正;0;飲み物修正;2;本修正難度１;2;本修正難度２;2;本修正難度３;2;本修正難度４;2;本修正難度５;2
7023;やりすごしの箱;$?PRICE_BOX_E;$?RARITY_E;;ターン;10;;;;;;;;;;;;;;
7024;混酒の箱;$?PRICE_BOX_A;$?RARITY_C;1;初期最大マテリアル;5;;;;;;;;;;;;;;
7025;鑑定の箱;$?PRICE_BOX_C;$?RARITY_D;;;;;;;;;;;;;;;;;
7026;お払い箱;$?PRICE_BOX_C;$?RARITY_D;;;;;;;;;;;;;;;;;
7027;思い出の小箱;$?PRICE_BOX_B;$?RARITY_C;1;;;;;;;;;;;;;;;;
7028;霊撃の箱;$?PRICE_BOX_C;$?RARITY_D;;ダメージ;1;怯みターン;2;吹き飛ばし距離;1;吹き飛ばしダメージ;5;;;;;;;;
