"ID";"usefulNameBase";"値段基礎値";"レア度";"加算攻撃力";"乗算攻撃力";"デフォルト大局識別済み";"攻撃属性_定数ダメージ";"撃ち返し爆弾";"ひま投げ";"命中力基礎";"射程距離";"まとめ最大数";"攻撃属性";"攻撃属性";"能力スロット";"$/メモ";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"$/memo";"効果量基礎"
2000;"気の矢";"$?PRICE_BULLET_E";"$?RARITY_F";1;0.8;;;;;100;10;50;"気";;;;;;;;;;;
2001;"徹の矢";"$?PRICE_BULLET_D";"$?RARITY_E";4;0.9;;;;;100;10;50;"気";;;;;;;;;;;
2002;"フレア";"$?PRICE_BULLET_S";"$?RARITY_B";40;0;;1;;;100;10;20;"衝";"火";;;;;;;;;;
2003;"毒の撃返爆弾";"$?PRICE_BULLET_C";"$?RARITY_D";2;0.5;;;1;1;100;2;30;"毒";"衝";;;"毒パワー";2;"ターン";100;;;;
2004;"銀の矢";"$?PRICE_BULLET_C";"$?RARITY_C";6;0.9;;;;;100;100;30;;;;;;;;;;;;
2005;"軟弱の撃返爆弾";"$?PRICE_BULLET_C";"$?RARITY_D";2;0.5;;;1;1;100;2;20;"毒";"衝";;;"軟弱パワー";3;"ターン";100;;;;
2006;"火の撃返爆弾";"$?PRICE_BULLET_B";"$?RARITY_SP";6;1.5;;;1;1;100;2;20;"$?火3倍";"衝";;;;;;;;;;
2007;"水の撃返爆弾";"$?PRICE_BULLET_B";"$?RARITY_SP";6;1.5;;;1;1;100;2;20;"$?水3倍";"衝";;;;;;;;;;
2008;"石つぶて";"$?PRICE_BULLET_E";"$?RARITY_F";5;0.8;;;;1;100;2;99;;;;;;;;;;;;
2009;"投げナイフ";"$?PRICE_BULLET_D";"$?RARITY_D";2;1;;;;;100;10;60;;;;;"跳ね返り";2;;;;;;
2010;"ホーミング札";"$?PRICE_BULLET_B";"$?RARITY_C";3;1.5;;;;2;100;6;30;;;;;;;;;;;;
2011;"必中の大玉";"$?PRICE_BULLET_A";"$?RARITY_C";5;1.5;;;;;100;10;30;"必中";;2;"必中";"印必中率最大";100;;;;;;
2012;"三連投げナイフ";"$?PRICE_BULLET_B";"$?RARITY_B";1;1;;;;;100;10;60;;;;;"跳ね返り";2;;;;;;
2013;"蝶球";"$?PRICE_BULLET_B";"$?RARITY_A";3;1.5;;;;;100;10;60;;;;;;;;;;;;
2014;"犠牲人形";"$?PRICE_BULLET_A";"$?RARITY_C";50;0;;1;;1;100;2;20;"$?衝3倍";;;;;;;;;;;
2015;"クナイ";"$?PRICE_BULLET_B";"$?RARITY_C";50;0;;2;;;100;10;50;;;;;;;;;;;;
2016;"御柱";"$?PRICE_BULLET_B";"$?RARITY_SP";5;1;1;;;;100;3;20;;;;;"吹き飛ばし";2;;;;;;
2017;"電撃弾";"$?PRICE_BULLET_C";"$?RARITY_B";3;1.5;;;;;100;10;30;"$?雷3倍";;;;"曲がり";2;;;;;;
2018;"豆鉄砲弾";"$?PRICE_BULLET_B";"$?RARITY_B";3;1.5;;1;;;100;10;30;"$?火3倍";;;;"鬼ダメージ倍率％";200;"脱力";2;"軟弱";2;"効果ターン";100
2019;"交通安全の護符";"$?PRICE_BULLET_D";"$?RARITY_C";0;1;1;;;;100;10;20;;;;;"壊れる確率％";40;;;;;;
2020;"冷気撃返爆弾";"$?PRICE_BULLET_D";"$?RARITY_D";6;1.5;;;1;1;100;2;20;"$?冷3倍";"衝";;;;;;;;;;
2021;"うさぎ跳び弾";"$?PRICE_BULLET_C";"$?RARITY_E";5;1.5;;;;;100;2;30;;;;;;;;;;;;
2022;"保冷剤の護符";"$?PRICE_BULLET_D";"$?RARITY_C";0;1;1;;;;100;10;20;"$?冷6倍";;;;"壊れる確率％";100;;;;;;
2023;"水難除けの護符";"$?PRICE_BULLET_D";"$?RARITY_C";0;1;1;;;;100;10;20;"$?雷6倍";;;;"壊れる確率％";10;;;;;;
2024;"静電気除けの護符";"$?PRICE_BULLET_D";"$?RARITY_C";0;1;1;;;;100;10;20;"$?水6倍";;;;"壊れる確率％";10;;;;;;
2025;"冷気除けの護符";"$?PRICE_BULLET_D";"$?RARITY_C";0;1;1;;;;100;10;20;"$?火6倍";;;;"壊れる確率％";10;;;;;;
2026;"エクスパンデッド御柱";0;"$?RARITY_SP";0;0;1;1;;;100;3;20;;;;;"吹き飛ばし";2;;;;;;
2027;"お空の弾";0;"$?RARITY_SP";0;0;1;1;;;100;10;10;"衝";"火";;;;;;;;;;
2028;"スケープゴート弾";"$?PRICE_BULLET_A";"$?RARITY_C";1;0;;;;;100;999;16;;;;;;;;;;;;
2029;"壁弾幕";"$?PRICE_BULLET_D";"$?RARITY_D";1;1;;;;;100;999;10;;;;;"玉の数";5;"衝突時の玉の数";3;;;;
