"ID";"usefulNameBase";"値段基礎値";"レア度";"属性";"属性";"衝突時ばら撒き";"デフォルト大局識別済み";"$/memo";"マテリアル";"マテリアル";"マテリアル";"マテリアル";"状態値出現分布";"状態値出現分布";"状態値出現分布";"能力スロット";"$/メモ";"$/コメント列";"効果量基礎";"$/コメント列";"効果量基礎";"$/コメント列";"効果量基礎";"$/コメント列";"効果量基礎"
5000;"水道水";"$?PRICE_DRINK_A";"$?RARITY_S";"酒";;1;;"春夏秋冬の順";4;4;4;4;"0|1200";"1|50";"-1|0";;;"回復基礎値";500;"HP拡張量";5;;;;
5001;"神殺し";"$?PRICE_DRINK_C";"$?RARITY_D";"酒";;1;;;2;4;0;0;"0|1100";"1|50";"-1|0";;;"最低ダメージ基礎値";120;"最大ダメージ基礎値（未満）";120;"$/衝突最低ダメージ基礎値";80;"$/衝突最大ダメージ基礎値（未満）";80
5002;"毒水";"$?PRICE_DRINK_D";"$?RARITY_D";"薬";;1;;;0;0;3;4;"0|1100";"1|50";"-1|0";;;"鬱効果ターン";10;;;;;;
5003;"天狗水";"$?PRICE_DRINK_A";"$?RARITY_D";"薬";;1;;;3;5;8;0;"0|1100";"1|50";"-1|0";;;"倍速効果ターン";5;;;;;;
5004;"眠り薬";"$?PRICE_DRINK_D";"$?RARITY_D";"薬";;1;;;4;0;0;2;"0|1100";"1|50";"-1|0";;;"眠り効果ターン";5;;;;;;
5005;"仙果焼酎->ビール";"$?PRICE_DRINK_E";"$?RARITY_F";"薬";"酒";1;;;3;0;2;0;"0|1100";"1|50";"-1|0";;;"回復基礎値";100;"HP拡張量";2;;;;
5006;"エーテリキュール";"$?PRICE_DRINK_D";"$?RARITY_C";"薬";"酒";1;;;7;4;5;2;"0|1100";"1|50";"-1|0";2;"防御回復";"回復基礎値";200;"HP拡張量";4;"印防御回復量";4;;
5007;"エリクシエール";"$?PRICE_DRINK_C";"$?RARITY_B";"薬";"酒";1;;;9;9;9;9;"0|1100";"1|50";"-1|0";2;"回復剣";"最大ＨＰに対する回復量（百分率）";100;"印攻撃回復量％";8;;;;
5008;"空の水筒";"$?PRICE_DRINK_F";"$?RARITY_SP";"耐冷凍";;1;1;;0;0;0;0;;;;;;"ポーション化確率％";10;;;;;;
5009;"生水";"$?PRICE_DRINK_F";"$?RARITY_SP";"火消し";"耐冷凍";1;1;;0;0;0;2;;;;;;"満腹度減少量";5;;;;;;
5010;"水";"$?PRICE_DRINK_F";"$?RARITY_SP";"火消し";"耐冷凍";1;1;;2;2;2;2;;;;;;"満腹度回復量";15;;;;;;
5011;"熱湯";"$?PRICE_DRINK_F";"$?RARITY_SP";"耐冷凍";;1;1;;0;6;0;0;;;;;;"ダメージ";80;;;;;;
5012;"酒精";"$?PRICE_DRINK_C";"$?RARITY_D";"酒";;1;;;2;2;3;0;"0|1100";"1|50";"-1|0";;;"効果ターン";10;;;;;;
5013;"レベルアップする酒（仮名）八十八神酒";"$?PRICE_DRINK_S";"$?RARITY_C";"酒";;1;;;3;9;4;0;"0|1100";"1|50";"-1|0";;;"アップ量";1;;;;;;
5014;"レベルダウンする酒（仮名）つわり香の酒";"$?PRICE_DRINK_D";"$?RARITY_C";"酒";;1;;;0;3;3;0;"0|1100";"1|50";"-1|0";;;"ダウン量";1;;;;;;
5015;"飛び上がるほどの酒";"$?PRICE_DRINK_D";"$?RARITY_D";"酒";;1;;;0;0;3;5;"0|1100";"1|50";"-1|0";;;;;;;;;;
5016;"レベルアップする酒強（仮名）ソーマ";"$?PRICE_DRINK_SS";"$?RARITY_SS";"酒";;1;;;8;22;10;9;;;;;;"アップ量";3;;;;;;
5017;"レベルダウンする酒強（仮名）ミジャグジ酒";"$?PRICE_DRINK_SS";"$?RARITY_B";"酒";;1;;;0;8;8;0;;;;;;"ダウン量";3;;;;;;
5018;"胃拡張（仮名）火向神酒";"$?PRICE_DRINK_C";"$?RARITY_D";"酒";;1;;;3;3;0;0;"0|1100";"1|50";"-1|0";;;"拡張量";10;;;;;;
5019;"胃縮小（仮名）";"$?PRICE_DRINK_C";"$?RARITY_D";"酒";;1;;;0;0;3;3;"0|1100";"1|50";"-1|0";;;"縮小量";10;;;;;;
5020;"脱力のラム";"$?PRICE_DRINK_A";"$?RARITY_D";"酒";"薬";1;;;0;0;5;5;"0|1100";"1|50";"-1|0";;;"脱力パワー";10;"ターン";100;;;;
5021;"元気のジン";"$?PRICE_DRINK_A";"$?RARITY_D";"酒";"薬";1;;;2;6;0;0;"0|1100";"1|50";"-1|0";;;"元気パワー";10;"ターン";100;;;;
5022;"飲む目薬";"$?PRICE_DRINK_C";"$?RARITY_D";"薬";;0;;;0;2;3;1;"0|1100";"1|50";"-1|0";;;;;;;;;;
5023;"踊命酒";"$?PRICE_DRINK_B";"$?RARITY_D";"酒";;0;;;6;8;6;0;"0|1100";"1|50";"-1|0";;;"最大HP上昇量";10;;;;;;
5024;"貧乏になる酒（仮名）朝寝朝酒";"$?PRICE_DRINK_C";"$?RARITY_D";"酒";;1;;;0;0;1;4;"0|1100";"1|50";"-1|0";;;"効果ターン";10;;;;;;
5025;"八意印の万能薬";"$?PRICE_DRINK_B";"$?RARITY_D";"薬";"酒";1;;;2;2;2;2;"0|1100";"1|50";"-1|0";;;;;;;;;;
5026;"液体窒素";"$?PRICE_DRINK_E";"$?RARITY_D";"耐冷凍";;1;;;0;0;0;5;"0|1100";"1|50";"-1|0";;;"効果ターン";10;;;;;;
5027;"神便鬼毒酒 ";"$?PRICE_DRINK_A";"$?RARITY_C";"酒";;1;;;2;2;0;6;"0|1100";"1|50";"-1|0";;;"頑強パワー";5;"ターン";500;"鬼脱力パワー";10;"鬼軟弱パワー";10
5028;"封印酒";"$?PRICE_DRINK_D";"$?RARITY_D";"酒";;1;;;0;1;1;3;"0|1100";"1|50";"-1|0";;;"効果ターン";500;;;;;;
5029;"国士無双の薬 ";"$?PRICE_DRINK_S";"$?RARITY_B";"酒";"薬";1;;;4;8;4;0;"0|1100";"1|50";"-1|0";;;"効果ターン";10;;;;;;
5030;"嫉妬のカクテル";"$?PRICE_DRINK_C";"$?RARITY_D";"酒";;1;;;0;3;0;3;"0|1100";"1|50";"-1|0";;;"効果ターン";20;;;;;;
5031;"ハイビール";"$?PRICE_DRINK_D";"$?RARITY_F";"酒";;1;;;4;0;3;0;"0|1100";"1|50";"-1|0";;;"回復基礎値";300;"HP拡張量";4;;;;
5032;"エクスビール";"$?PRICE_DRINK_C";"$?RARITY_C";"酒";;1;;;6;0;4;0;"0|1100";"1|50";"-1|0";;;"最大ＨＰに対する回復量（百分率）";100;"HP拡張量";4;;;;
