"ID";"usefulNameBase";"値段基礎値";"レア度";"両手装備";"装備難度";"属性";"攻撃基礎値";"攻撃修正値係数";"防御基礎値";"防御修正値係数";"修正値限界値";"能力スロット";"恒常能力";"$/メモ";"初期残りスロット";"$/ID memo";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"修正値出現分布";"修正値出現分布";"修正値出現分布";"修正値出現分布";"修正値出現分布";"状態値出現分布";"状態値出現分布"
1000;"打刀";120;"$?RARITY_D";;3;"剣";7;1;2;1;50;0;;;7;1000;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1001;"短剣";60;"$?RARITY_E";;1;"剣";3;1;3;1;50;0;;;4;1001;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1002;"死神の鎌";500;"$?RARITY_C";1;4;;6;0.8;5;0.8;50;0;;;10;1002;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1003;"ドリル羽衣";300;"$?RARITY_C";;3;;5;1;3;1;50;1;;"壁堀";3;1003;"最小穴掘り数";50;"最大穴掘り数";100;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1004;"びっくり傘";420;"$?RARITY_A";;1;;3;1;4;1;50;2;;"びっくり";2;1004;"能力発動率（百分率）";20;"効果ターン";1;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1005;"白楼剣";480;"$?RARITY_C";;2;"剣";1;1;9;1;50;1;;"精神系異常状態解除";7;1005;"能力発動率（百分率）";100;解除時ダメージUP％;100;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1006;"楼観剣";1200;"$?RARITY_A";;3;"剣";11;1;2;1;50;;;;10;1006;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1007;"三日月戟";700;"$?RARITY_A";;4;;13;1.1;2;1;50;;;;6;1007;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1008;"大鎌";600;"$?RARITY_B";1;4;;6;0.8;6;0.8;50;1;;"車輪の刃";8;1008;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1009;"妖扇";500;"$?RARITY_B";;2;;2;1;10;1;50;3;;"逆どんぶり";11;1009;腹減りUP%;100;能力アップ数;5;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
