"ID";"$/メモ";"IconFileName";"IconFileIndexX";"IconFileIndexY"
1000;"打刀";"item\EquipIcon01.png";0;0
1001;"短剣";"item\EquipIcon04.png";3;0
1002;"死神の鎌";"item\EquipIcon01.png";1;0
1003;"ドリル羽衣";"item\EquipIcon04.png";0;0
1004;"びっくり傘";"item\EquipIcon04.png";0;2
1005;"白楼剣";"item\EquipIcon01.png";2;0
1006;"楼観剣";"item\EquipIcon01.png";3;0
1007;"三日月戟";"item\EquipIcon02.png";0;0
1008;"大鎌";"item\EquipIcon03.png";1;0
1009;"妖扇";"item\EquipIcon04.png";0;1
1010;"ヤタノ鏡";"item\EquipIcon01.png";2;2
1011;"ヤサカニノ勾玉";"item\EquipIcon01.png";0;3
1012;"霧雨の剣";"item\EquipIcon04.png";3;2
1013;"アマノムラクモノ剣";"item\EquipIcon01.png";3;2
1014;"イナバの杵";"item\EquipIcon03.png";2;0
1015;"ｽﾋﾟｱ･ｻﾞ･ｸﾞﾝｸﾞﾆﾙ";"item\EquipIcon01.png";2;1
1016;"スノートライデント";"item\EquipIcon02.png";3;2
1017;"漆黒の大カミソリ";"item\EquipIcon02.png";1;0
1018;"鬼切";"item\EquipIcon02.png";2;2
1019;"神切";"item\EquipIcon03.png";3;2
1020;"人切";"item\EquipIcon02.png";1;2
1021;"妖切";"item\EquipIcon04.png";1;3
1022;"妖精切";"item\EquipIcon03.png";2;2
1023;"青竜刀";"item\EquipIcon03.png";3;0
1024;"磁器刀";"item\EquipIcon04.png";2;3
1025;"犬走刀";"item\EquipIcon03.png";0;1
1026;"天狗の盾";"item\EquipIcon03.png";1;1
1027;"天狗団扇";"item\EquipIcon04.png";2;0
1028;"のびーるアーム";"item\EquipIcon01.png";3;1
1029;"卒塔婆";"item\EquipIcon02.png";2;0
1030;"レーヴァテイン";"item\EquipIcon04.png";2;1
1031;"悔悟の棒";"item\EquipIcon01.png";0;1
1032;"浄玻璃";"item\EquipIcon05.png";0;0
1033;"お払い棒";"item\EquipIcon04.png";1;1
1034;"魔女箒";"item\EquipIcon01.png";0;2
1035;"フラワーパラソル";"item\EquipIcon02.png";3;0
1036;"八雲卍傘";"item\EquipIcon02.png";0;1
1037;"鎖分銅";"item\EquipIcon02.png";1;1
1038;"巫女針";"item\EquipIcon03.png";2;1
1039;"ミニ八卦炉";"item\EquipIcon01.png";1;2
1040;"バトン";"item\EquipIcon02.png";1;3
1041;"警策";"item\EquipIcon02.png";0;2
1042;"壊れたお守り";"item\EquipIcon04.png";0;3
1043;"分厚い本";"item\EquipIcon02.png";0;3
1044;"猫車";"item\EquipIcon04.png";1;2
1045;"宝塔";"item\EquipIcon03.png";1;2
1046;"イカリ";"item\EquipIcon03.png";3;1
1047;"大盃";"item\EquipIcon04.png";3;3
1048;"大巻物";"item\EquipIcon01.png";2;3
1049;"制御棒";"item\EquipIcon01.png";1;1
1050;"氷柱";"item\EquipIcon01.png";3;3
1051;"道路標識";"item\EquipIcon03.png";0;2
1052;"要石";"item\EquipIcon04.png";3;1
1053;"緋想の剣 ";"item\EquipIcon04.png";1;0
1054;"御幣 ";"item\EquipIcon03.png";0;0
1055;"必殺の武器";"item\EquipIcon04.png";2;2
1056;"金の延べ棒";"item\EquipIcon02.png";2;1
1057;"マンドラゴラの鉢";"item\EquipIcon01.png";1;3
1058;蛍光刀;"item\EquipIcon02.png";2;3
1059;柄杓;"item\EquipIcon02.png";3;3
1060;エレキテルの羽衣;"item\EquipIcon05.png";1;0
1061;"チャクラム";"item\EquipIcon02.png";3;1
