ID;usefulNameBase;値段基礎値;レア度;状態値出現分布;状態値出現分布;状態値出現分布;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎;$/コメント;効果量基礎
4000;コッペパン;10;$?RARITY_D;0|800;1|100;-1|100;満腹度回復;50;満腹度拡張;3;元気頑強;1;元気頑強ターン;100;;;;
4001;大きなコッペパン;20;$?RARITY_C;0|800;1|100;-1|100;満腹度回復;100;満腹度拡張;5;元気頑強;1;元気頑強ターン;100;;;;
4002;巨大なコッペパン;30;$?RARITY_B;0|800;1|100;-1|100;満腹度回復;200;満腹度拡張;7;元気頑強;1;元気頑強ターン;100;;;;
4003;腐ったコッペパン;2;$?RARITY_C;0|800;1|100;-1|100;満腹度回復;50;満腹度拡張;1;バットステータスターン;10;脱力;5;軟弱;5;脱力軟弱ターン;500
4004;焼けたコッペパン;5;$?RARITY_SP;0|800;;;満腹度回復;50;満腹度拡張;1;HP回復;50;;;;;;
4005;焦げたコッペパン;2;$?RARITY_SP;0|800;;;満腹度回復;25;;;;;;;;;;
4006;黒いコッペパン;1;$?RARITY_SP;0|800;;;満腹度減少;30;ダメージ;10;;;;;;;;
4007;焼けた大きなコッペパン;10;$?RARITY_SP;0|800;;;満腹度回復;100;満腹度拡張;2;HP回復;100;;;;;;
4008;焦げた大きなコッペパン;3;$?RARITY_SP;0|800;;;満腹度回復;50;;;;;;;;;;
4009;焼けた巨大なコッペパン;15;$?RARITY_SP;0|800;;;満腹度回復;200;満腹度拡張;3;HP回復;150;;;;;;
4010;焦げた巨大なコッペパン;4;$?RARITY_SP;0|800;;;満腹度回復;100;;;;;;;;;;
4011;魔法のコッペパン;50;$?RARITY_SP;0|800;1|100;-1|100;満腹度回復;30;満腹度拡張;2;;;;;;;;
4012;芋;5;$?RARITY_SP;0|800;;;満腹度回復;10;満腹度拡張;1;;;;;;;;
4013;焼芋;10;$?RARITY_SP;0|800;;;満腹度回復;30;満腹度拡張;0;HP回復;30;;;;;;
4014;腐った芋;2;$?RARITY_SP;0|800;1|100;-1|100;満腹度回復;30;満腹度拡張;0;バットステータスターン;10;脱力;2;軟弱;2;脱力軟弱ターン;100
4015;黒い芋;1;$?RARITY_SP;0|800;;;満腹度減少;30;ダメージ;10;;;;;;;;
