ID;usefulNameBase;レア度;$/コメント;効果量基礎;$/コメント;効果量基礎
8000;少額お金;$?RARITY_F;最低金額;18;最大金額;36
8001;中額お金;$?RARITY_E;最低金額;34;最大金額;76
8002;高額お金;$?RARITY_D;最低金額;68;最大金額;132
8003;超高額お金;$?RARITY_C;最低金額;110;最大金額;160
8004;超超高額お金;$?RARITY_B;最低金額;150;最大金額;200
8005;くろがね毛玉のお金;$?RARITY_SP;最低金額;50;最大金額;50
8006;しろがね毛玉のお金;$?RARITY_SP;最低金額;100;最大金額;100
8007;白金毛玉のお金;$?RARITY_SP;最低金額;150;最大金額;150
8008;黄金毛玉のお金;$?RARITY_SP;最低金額;300;最低金額;300
8009;金剛毛玉のお金;$?RARITY_SP;最低金額;500;最低金額;500
8010;緋々色金毛玉のお金;$?RARITY_SP;最低金額;1000;最低金額;1000
8011;微々たるお金;$?RARITY_SP;最低金額;6;最大金額;11
8012;ナズーリンドロップEASY;$?RARITY_SP;最低金額;25;最大金額;25
8013;ナズーリンドロップNORMAL;$?RARITY_SP;最低金額;50;最大金額;50
8014;ナズーリンドロップHARD;$?RARITY_SP;最低金額;75;最大金額;75
8015;ナズーリンドロップLUNA;$?RARITY_SP;最低金額;100;最大金額;100
8016;ナズーリンドロップEX;$?RARITY_SP;最低金額;150;最大金額;150
8017;;;;;;
8018;;;;;;
8019;;;;;;
