ID;usefulNameBase;値段基礎値;レア度;imagecolar1_real;imagecolar2_real;通常時最悪耐久回数;亀裂時最悪耐久回数;通常時破損率;亀裂時破損率;効果時腕輪ダメージ;スキルコスト満腹度;スキルスペルダメージ;状態値出現分布;状態値出現分布;状態値出現分布;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎
3000;コーリンの符;$?PRICE_SPELL_F;$?RARITY_E;FF60A0B0;FF505060;10;5;0.1;0.2;10;;;0|1750;1|150;-1|100;識別;;;;;;;;;
3001;リグルの符;$?PRICE_SPELL_E;$?RARITY_C;FFDDFF55;FF22AA55;10;5;0.03;0.04;-1;;;0|1900;1|50;-1|50;視界増加マス数;3;敵起こしやすさ倍率;2;;;;;;
3002;テヰの符;$?PRICE_SPELL_D;$?RARITY_B;FFAAAAAA;FFFF4466;10;5;0.03;0.04;3;;;0|1900;1|50;-1|50;増加罠個数;30;;;;;;;;
3003;レイムの符;$?PRICE_SPELL_SS;$?RARITY_S;FFFF0044;FFDDDDDD;10;5;0.03;0.04;2;;;0|1900;1|50;-1|50;封印ターン;500;アイテム回避力UP;100;;;;;;
3004;マリサの符;$?PRICE_SPELL_S;$?RARITY_A;FFFFFF44;FF000000;10;5;0.03;0.04;-1;;;0|1900;1|50;-1|50;最大HPに対するダメージ％;75;射程;100;射的攻撃力UP％;50;;;;
3005;ヒナの符;$?PRICE_SPELL_E;$?RARITY_C;FFCC2244;FF22CC55;10;5;0.03;0.04;4;;;0|1900;1|50;-1|50;おはらい;;;;;;;;;
3006;ヨウムの符;$?PRICE_SPELL_A;$?RARITY_A;FFCCEEEE;FF009977;10;5;0.03;0.04;-1;;;0|1900;1|50;-1|50;宣言時攻撃力加算ボーナス;20;射程;10;装備剣攻撃力UP％;50;;;;
3007;レイセンの符;$?PRICE_SPELL_B;$?RARITY_B;FFFF88FF;FF8899DD;10;5;0.03;0.04;3;;;0|1900;1|50;-1|50;効果ターン;20;装備時空振り状態付与確率％;12;装備時空振り状態付与ターン;10;;;;
3008;パチュリーの符;$?PRICE_SPELL_B;$?RARITY_A;FFEEAACC;FFAA55DD;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;攻撃力;40;装備時攻撃力UP%基礎値;20;;;;;;
3009;カナコの符;$?PRICE_SPELL_SSS;$?RARITY_S;FFEE2222;FF2233DD;15;7;0.04;0.05;15;;;0|1900;1|50;-1|50;信仰確率％;5;;;;;;;;
3010;エーリンの符;$?PRICE_SPELL_B;$?RARITY_A;FFCC2244;FF334499;4;2;0.04;0.05;0;;;0|1900;1|50;-1|50;回復量上昇%;800;（消去）満腹度減少UP%;200;;;;;;
3011;スワコの符;$?PRICE_SPELL_S;$?RARITY_A;FF9955BB;FFDDCCAA;20;10;0.03;0.04;1;;;0|1900;1|50;-1|50;;;;;;;;;;
3012;ルーミアの符;$?PRICE_SPELL_D;$?RARITY_C;FF000077;FFFFFF00;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;見通し悪化距離;0;;;;;;;;
3013;ユユコの符;$?PRICE_SPELL_B;$?RARITY_A;FF88BBDD;FFDD99DD;10;5;0.03;0.04;5;;;0|1900;1|50;-1|50;死亡ターン;10;（消去）満腹度減少UP%;100;ダメージ上限分母;4;;;;
3014;アリスの符;$?PRICE_SPELL_A;$?RARITY_A;FF4466AA;FFDDD444;20;10;0.03;0.04;1;;;0|1900;1|50;-1|50;召喚身代わりキャラ数;4;召喚ターン;10;;;;;;
3015;チルノの符;$?PRICE_SPELL_C;$?RARITY_C;FF22BBDD;FFDDFFFF;15;7;0.03;0.04;1;;;0|1900;1|50;-1|50;冷気耐性％;50;氷り付け付与確率％;50;氷り付け付与ターン;10;炎脱力軟弱ターン;10;飛ばずターン;50
3016;ニトリの符;$?PRICE_SPELL_C;$?RARITY_C;FF3399CC;FF33CC33;5;5;0.03;0.04;1;;;0|1900;1|50;-1|50;擬態効果ターン;10;;;;;;;;
3017;レミリアの符;$?PRICE_SPELL_A;$?RARITY_A;FFCC3366;FFFFCCFF;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;射程;10;回復量％;20;水脱力軟弱ターン;10;;;;
3018;フランの符;$?PRICE_SPELL_A;$?RARITY_A;FFCC3366;FFFFEE33;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;ダメージ％;0;反射ダメージ％;50;水脱力軟弱ターン;10;;;;
