ID;usefulNameBase;レア度;発動率;故障率;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎
9000;天狗風のワナ;$?RARITY_E;90;20;;;;;;;;
9002;プチフレアの罠;$?RARITY_E;90;40;百分率ダメージ;50;;;;;;
9003;メガフレアの罠;$?RARITY_D;90;50;百分率ダメージ;75;;;;;;
9004;春眠の罠;$?RARITY_E;90;10;効果ターン;5;;;;;;
9005;気の矢の罠;$?RARITY_E;90;10;飛距離;100;;;;;;
9006;徹の矢の罠;$?RARITY_D;90;15;飛距離;100;;;;;;
9007;毒の矢の罠;$?RARITY_D;90;24;飛距離;100;;;;;;
9008;御柱の罠;$?RARITY_E;90;20;飛距離;100;;;;;;
9009;つるべ落としの罠;$?RARITY_E;90;10;ダメージ(レベル＊ｎ);1;最大ダメージ;50;;;;
9010;泥酔の罠;$?RARITY_E;90;10;ターン;10;;;;;;
9011;サビの罠;$?RARITY_E;85;50;雑魚 脱力強度;10;ターン;10;;;;
9012;そうびはずしの罠;$?RARITY_E;90;25;雑魚 封印ターン;50;;;;;;
9013;そうびまわしの罠;$?RARITY_E;90;25;雑魚 空振りターン;10;;;;;;
9014;モンスターの罠;$?RARITY_E;90;25;;;;;;;;
9015;スキマの罠;$?RARITY_D;85;100;割合ダメージ;10;;;;;;
9016;呪いの罠;$?RARITY_E;85;25;雑魚 死の誘いターン;10;;;;;;
9017;幸運の罠;$?RARITY_S;100;100;雑魚 無敵ターン;10;;;;;;
9018;貧乏の罠;$?RARITY_E;90;20;ターン;10;;;;;;
9019;氷付けの罠;$?RARITY_E;90;10;ターン;5;;;;;;
9020;召喚の罠;$?RARITY_E;90;100;キャラ数;4;;;;;;
9021;罠の罠;$?RARITY_B;85;100;罠の数;25;;;;;;
9022;三歩必殺の罠;$?RARITY_C;85;30;最大ＨＰに対するダメージ％;30;最大ダメージ;40;;;;
9023;クランベリートラップ;$?RARITY_A;85;100;ダメージ;10;;;;;;
9024;デロ;$?RARITY_E;90;15;;;;;;;;
9025;ころび;$?RARITY_E;90;10;ダメージ;5;落とすアイテム数;4;雑魚 びっくりターン;2;;
9026;メランコリートラップ;$?RARITY_E;90;10;ターン;10;;;;;;
9027;虫の知らせサービス;$?RARITY_E;90;10;;;;;;;;
9028;青竹踏み;$?RARITY_C;100;100;健康ターン;20;;;;;;
9029;二の足;$?RARITY_C;85;30;ターン;10;;;;;;
9030;宵闇の罠;$?RARITY_E;90;0;範囲;4;雑魚 鳥目ターン;50;;;;
9031;宴会の罠;$?RARITY_D;100;100;;;;;;;;
9032;病気の罠;$?RARITY_C;90;50;病気ターン;10;;;;;;
