"ID";"$/レベル";"経験値テーブル";"攻撃力テーブル";"防御力テーブル";"武器力係数テーブル";"防具力係数テーブル";"最大HPテーブル"
1002;"メイリン";0;0;0;0;0;0
;1;10;6;0;70;70;15
;2;30;7;1;72;72;20
;3;60;9;2;74;74;25
;4;100;11;2;77;77;31
;5;160;12;3;78;78;36
;6;230;13;3;80;80;42
;7;320;15;4;82;82;47
;8;430;16;4;84;84;53
;9;560;18;5;86;86;58
;10;710;19;5;87;87;64
;11;890;20;5;89;89;70
;12;1090;21;6;90;90;76
;13;1320;23;6;92;92;81
;14;1580;24;6;93;93;87
;15;1870;25;7;95;95;93
;16;2200;27;7;97;97;100
;17;2570;28;7;98;98;106
;18;2980;29;8;99;99;112
;19;3430;30;8;101;101;118
;20;3930;31;8;102;102;125
;21;4480;33;9;104;104;131
;22;5080;34;9;105;105;138
;23;5740;35;9;107;107;145
;24;6460;36;10;108;108;151
;25;7250;38;10;110;110;158
;26;8110;39;10;111;111;165
;27;9040;40;11;112;112;172
;28;10050;41;11;114;114;179
;29;11150;42;11;115;115;186
;30;12340;43;12;116;116;193
;31;13630;45;12;118;118;201
;32;15020;46;12;119;119;208
;33;16520;47;13;120;120;216
;34;18140;48;13;122;122;223
;35;19890;49;13;123;123;231
;36;21770;51;14;125;125;239
;37;23800;52;14;126;126;247
;38;25980;53;14;127;127;254
;39;28320;54;15;128;128;263
;40;30840;55;15;130;130;271
;41;33540;56;15;131;131;279
;42;36440;57;16;132;132;287
;43;39550;59;16;134;134;296
;44;42880;60;16;135;135;304
;45;46450;61;17;136;136;313
;46;50270;62;17;138;138;322
;47;54360;63;17;139;139;331
;48;58730;64;18;140;140;340
;49;63400;66;18;142;142;349
;50;68400;67;18;143;143;358
;51;73740;68;19;144;144;367
;52;79440;69;19;145;145;376
;53;85520;70;19;147;147;386
;54;92010;71;20;148;148;396
;55;98930;72;20;149;149;405
;56;106310;73;20;150;150;415
;57;114170;75;21;152;152;425
;58;122550;76;21;153;153;435
;59;131480;77;21;154;154;446
;60;140980;78;22;155;155;456
;61;151100;79;22;157;157;466
;62;161870;80;22;158;158;477
;63;173330;81;23;159;159;488
;64;185520;83;23;161;161;499
;65;198480;84;23;162;162;510
;66;212260;85;24;163;163;521
;67;226910;86;24;164;164;532
;68;242480;87;24;165;165;543
;69;259030;88;25;167;167;555
;70;276610;89;25;168;168;566
;71;295280;90;25;169;169;578
;72;315110;91;26;170;170;590
;73;336160;93;26;172;172;602
;74;358500;94;26;173;173;614
;75;382210;95;27;174;174;627
;76;407370;96;27;175;175;639
;77;434060;97;27;177;177;652
;78;462380;98;28;178;178;665
;79;492410;99;28;179;179;678
;80;524250;100;28;180;180;691
;81;558010;102;29;182;182;704
;82;593800;103;29;183;183;718
;83;631730;104;29;184;184;731
;84;671930;105;30;185;185;745
;85;714530;106;30;186;186;759
;86;759660;107;30;188;188;773
;87;807470;108;31;189;189;787
;88;858100;109;31;190;190;802
;89;911720;110;31;191;191;817
;90;968500;111;32;192;192;831
;91;1028620;113;32;194;194;846
;92;1092260;114;32;195;195;861
;93;1159630;115;33;196;196;877
;94;1230930;116;33;197;197;892
;95;1306390;117;33;198;198;908
;96;1386230;118;34;200;200;924
;97;1470710;119;34;201;201;940
;98;1560080;120;34;202;202;956
;99;1654620;121;35;203;203;972
;100;2000000;126;40;220;220;999
