"ID";"$/レベル";"経験値テーブル";"攻撃力テーブル";"防御力テーブル";"武器力係数テーブル";"防具力係数テーブル";"最大HPテーブル"
1002;"メイリン";0;0;0;0;0;0
;1;10;6;0;50;30;15
;2;30;7;0;52;35;20
;3;60;9;0;54;40;25
;4;100;11;0;56;45;30
;5;160;12;0;58;50;35
;6;230;13;0;60;55;40
;7;320;15;0;62;60;45
;8;430;16;0;64;65;50
;9;560;18;0;66;70;55
;10;710;19;0;68;75;60
;11;890;20;0;70;80;65
;12;1090;21;0;72;85;70
;13;1320;23;0;74;90;75
;14;1580;24;0;76;95;80
;15;1870;25;0;78;100;85
;16;2200;27;0;80;105;90
;17;2570;28;0;82;110;95
;18;2980;29;0;84;115;100
;19;3430;30;0;86;120;105
;20;3930;31;0;88;125;110
;21;4480;33;0;90;130;115
;22;5080;34;0;92;135;120
;23;5740;35;0;94;140;125
;24;6460;36;0;96;145;130
;25;7250;38;0;98;150;135
;26;8110;39;0;100;155;140
;27;9040;40;0;102;160;145
;28;10050;41;0;104;165;150
;29;11150;42;0;106;170;155
;30;12340;43;0;108;175;160
;31;13630;45;0;110;180;165
;32;15020;46;0;112;185;170
;33;16520;47;0;114;190;175
;34;18140;48;0;116;195;180
;35;19890;49;0;118;200;185
;36;21770;51;0;120;200;190
;37;23800;52;0;122;200;195
;38;25980;53;0;124;200;200
;39;28320;54;0;126;200;205
;40;30840;55;0;128;200;210
;41;33540;56;0;130;200;215
;42;36440;57;0;132;200;220
;43;39550;59;0;134;200;225
;44;42880;60;0;135;200;230
;45;46450;61;0;136;200;235
;46;50270;62;0;138;200;240
;47;54360;63;0;139;200;245
;48;58730;64;0;140;200;250
;49;63400;66;0;142;200;255
;50;68400;67;0;143;200;260
;51;73740;68;0;144;200;265
;52;79440;69;0;145;200;270
;53;85520;70;0;147;200;275
;54;92010;71;0;148;200;280
;55;98930;72;0;149;200;285
;56;106310;73;0;150;200;290
;57;114170;75;0;152;200;295
;58;122550;76;0;153;200;300
;59;131480;77;0;154;200;305
;60;140980;78;0;155;200;310
;61;151100;79;0;157;200;315
;62;161870;80;0;158;200;320
;63;173330;81;0;159;200;325
;64;185520;83;0;161;200;330
;65;198480;84;0;162;200;335
;66;212260;85;0;163;200;340
;67;226910;86;0;164;200;345
;68;242480;87;0;165;200;350
;69;259030;88;0;167;200;355
;70;276610;89;0;168;200;360
;71;295280;90;0;169;200;365
;72;315110;91;0;170;200;370
;73;336160;93;0;172;200;375
;74;358500;94;0;173;200;380
;75;382210;95;0;174;200;385
;76;407370;96;0;175;200;390
;77;434060;97;0;177;200;395
;78;462380;98;0;178;200;400
;79;492410;99;0;179;200;405
;80;524250;100;0;180;200;410
;81;558010;102;0;182;200;415
;82;593800;103;0;183;200;420
;83;631730;104;0;184;200;425
;84;671930;105;0;185;200;430
;85;714530;106;0;186;200;435
;86;759660;107;0;188;200;440
;87;807470;108;0;189;200;445
;88;858100;109;0;190;200;450
;89;911720;110;0;191;200;455
;90;968500;111;0;192;200;460
;91;1028620;113;0;194;200;465
;92;1092260;114;0;195;200;470
;93;1159630;115;0;196;200;475
;94;1230930;116;0;197;200;480
;95;1306390;117;0;198;200;485
;96;1386230;118;0;200;200;490
;97;1470710;119;0;201;200;495
;98;1560080;120;0;202;200;500
;99;1654620;121;0;203;200;505
;100;2000000;126;0;220;200;520
