"ID";"$/レベル";"経験値テーブル";"攻撃力テーブル";"防御力テーブル";"武器力係数テーブル";"防具力係数テーブル";"最大HPテーブル"
1004;"ヨウム";0;0;0;0;0;0
;1;10;6;0;84;140;15
;2;30;7;0;88;141;22
;3;60;9;0;93;142;30
;4;100;11;0;100;143;38
;5;160;12;0;103;144;45
;6;230;13;0;108;145;53
;7;320;15;0;113;146;60
;8;430;16;0;118;147;68
;9;560;18;0;123;148;74
;10;710;19;0;125;149;81
;11;890;20;0;129;150;88
;12;1090;21;0;133;151;94
;13;1320;23;0;138;152;100
;14;1580;24;0;139;153;106
;15;1870;25;0;145;154;111
;16;2200;27;0;149;155;117
;17;2570;28;0;153;156;122
;18;2980;29;0;155;157;127
;19;3430;30;0;159;158;132
;20;3930;31;0;163;159;138
;21;4480;33;0;167;160;143
;22;5080;34;0;169;161;148
;23;5740;35;0;174;162;154
;24;6460;36;0;177;163;159
;25;7250;38;0;183;164;164
;26;8110;39;0;184;165;170
;27;9040;40;0;187;166;175
;28;10050;41;0;192;167;181
;29;11150;42;0;194;168;187
;30;12340;43;0;197;169;193
;31;13630;45;0;202;170;198
;32;15020;46;0;204;171;203
;33;16520;47;0;207;172;208
;34;18140;48;0;212;173;214
;35;19890;49;0;214;174;220
;36;21770;51;0;219;175;226
;37;23800;52;0;222;176;232
;38;25980;53;0;224;177;238
;39;28320;54;0;227;178;245
;40;30840;55;0;232;179;252
;41;33540;56;0;234;180;259
;42;36440;57;0;237;181;266
;43;39550;59;0;242;182;273
;44;42880;60;0;244;183;281
;45;46450;61;0;246;184;289
;46;50270;62;0;252;185;297
;47;54360;63;0;254;186;305
;48;58730;64;0;256;187;313
;49;63400;66;0;262;188;322
;50;68400;67;0;264;189;331
;51;73740;68;0;266;190;340
;52;79440;69;0;268;191;349
;53;85520;70;0;273;192;358
;54;92010;71;0;276;193;367
;55;98930;72;0;278;194;376
;56;106310;73;0;282;195;385
;57;114170;75;0;286;196;394
;58;122550;76;0;288;197;403
;59;131480;77;0;291;198;412
;60;140980;78;0;293;199;421
;61;151100;79;0;298;200;431
;62;161870;80;0;301;201;441
;63;173330;81;0;303;202;451
;64;185520;83;0;308;203;461
;65;198480;84;0;311;204;471
;66;212260;85;0;313;205;481
;67;226910;86;0;316;206;491
;68;242480;87;0;318;207;501
;69;259030;88;0;323;208;511
;70;276610;89;0;326;209;521
;71;295280;90;0;327;210;532
;72;315110;91;0;331;211;543
;73;336160;93;0;336;212;554
;74;358500;94;0;337;213;565
;75;382210;95;0;341;214;576
;76;407370;96;0;343;215;587
;77;434060;97;0;347;216;598
;78;462380;98;0;351;217;609
;79;492410;99;0;353;218;620
;80;524250;100;0;355;219;631
;81;558010;102;0;361;220;642
;82;593800;103;0;363;221;653
;83;631730;104;0;365;222;664
;84;671930;105;0;367;223;676
;85;714530;106;0;371;224;688
;86;759660;107;0;375;225;700
;87;807470;108;0;377;226;712
;88;858100;109;0;381;227;724
;89;911720;110;0;382;228;736
;90;968500;111;0;385;229;748
;91;1028620;113;0;390;230;760
;92;1092260;114;0;392;231;772
;93;1159630;115;0;395;232;784
;94;1230930;116;0;397;233;796
;95;1306390;117;0;400;234;808
;96;1386230;118;0;405;235;820
;97;1470710;119;0;407;236;832
;98;1560080;120;0;410;237;844
;99;1654620;121;0;412;238;856
;100;2000000;126;0;454;250;880
